time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	20	20	34	52	0	0	0	0	0	0	0	0	0	0	
0	20	20	34	52	1	-1498	-4.839531e-07	4.2755	0	0	0	0	0	0	
0.032	20	20	34	52	1	-1498	-4.839531e-07	4.2755	0	0	0	0	0	0	
0.052	20	20	34	52	1	-1498	-4.849664e-07	4.2755	0	0	0	0	0	0	
0.08	20	20	34	53	1	-1498	1.58036e-06	4.275501	0	0	0	0	0	0	
0.1	20	20	34	53	1	-1498	1.507053e-05	4.27551	-0.0001662533	0.0009114049	1.725171e-05	0	0	0	
0.128	20	20	34	53	1	-1498	4.427814e-05	4.275661	-0.000506201	0.001540205	-4.017774e-05	0	0	0	
0.156	20	20	34	53	1	-1498	8.683814e-05	4.276768	-0.001113824	0.0016772	-9.447996e-05	0	0	0	
0.18	20	20	34	53	1	-1498	0.0001227099	4.278756	-0.001345982	0.001858967	-0.000138084	0	0	0	
0.212	20	20	34	53	1	-1498	0.0001640142	4.282935	-0.0009624683	0.001259966	-0.000180578	0	0	0	
0.236	20	20	34	53	1	-1498	0.0001907444	4.28643	-0.0004724625	0.001099966	-0.0002084028	0	0	0	
0.272	20	20	34	53	1	-1497.999	0.000246713	4.295431	0.0004342835	0.0001377153	-0.0002411645	0	0	0	
0.296	20	20	34	53	1	-1497.999	0.0002666412	4.302105	0.001410585	-0.001116213	-0.0002529113	0	0	0	
0.32	20	20	34	53	1	-1497.999	0.0002847212	4.309719	0.002139568	-0.001589838	-0.0002539925	0	0	0	
0.352	20	20	34	53	1	-1497.999	0.0003145062	4.321316	0.00217325	0.0001934512	-0.0002451283	0	0	0	
0.368	20	20	34	53	1	-1497.999	0.0003329311	4.327727	0.001738631	0.001743618	-0.0002390892	0	0	0	
0.404	20	20	34	53	1	-1497.998	0.0003713991	4.343622	0.0001048905	0.003390503	-0.0002297471	0	0	0	
0.424	20	20	34	53	1	-1497.998	0.000394278	4.351335	-0.0008456198	0.002416176	-0.0002282044	0	0	0	
0.464	20	20	34	53	1	-1497.998	0.0004740772	4.37456	-0.003119254	2.540505e-06	-0.0002197635	0	0	0	
0.484	20	20	34	53	1	-1497.998	0.0005206266	4.386078	-0.003946365	-8.326714e-05	-0.000213617	0	0	0	
0.512	20	20	34	53	1	-1497.997	0.0005827068	4.403195	-0.003955492	0.000643835	-0.0002125765	0	0	0	
0.528	20	20	34	53	1	-1497.997	0.0006096023	4.413494	-0.003112978	0.001281847	-0.0002160826	0	0	0	
0.56	20	20	34	53	1	-1497.997	0.0006576482	4.4352	-0.000417998	0.001469818	-0.0002208923	0	0	0	
0.604	20	20	34	53	1	-1497.996	0.0007386288	4.467412	0.002873941	0.001885658	-0.0002102513	0	0	0	
0.624	20	20	34	54	1	-1497.996	0.0007729099	4.482946	0.00389103	0.00237097	-0.0002063245	0	0	0	
0.656	20	20	34	54	1	-1497.995	0.0008005833	4.508939	0.005162651	0.002753457	-0.0002050645	0	0	0	
0.684	20	20	34	54	1	-1497.995	0.0008088196	4.532813	0.005204346	0.001770777	-0.0002076671	0	0	0	
0.704	20	20	34	54	1	-1497.995	0.0008187684	4.550501	0.004142307	0.0008392939	-0.0002104978	0	0	0	
0.724	20	20	34	54	1	-1497.994	0.0008253446	4.568714	0.002568427	0.0003827765	-0.0002145783	0	0	0	
0.752	20	20	34	54	1	-1497.994	0.0008216135	4.59508	0.0002142862	0.0005919287	-0.0002188059	0	0	0	
0.784	20	20	34	54	1	-1497.993	0.0008084279	4.626434	-0.00220026	0.001518603	-0.0002321014	0	0	0	
0.808	20	20	34	54	1	-1497.993	0.0007883267	4.650793	-0.003143258	0.001934518	-0.0002434441	0	0	0	
0.84	20	20	34	54	1	-1497.992	0.0007425503	4.684379	-0.002681156	0.001928552	-0.0002562143	0	0	0	
0.86	20	20	34	54	1	-1497.992	0.0007157994	4.706003	-0.001895942	0.001122032	-0.0002644562	0	0	0	
0.896	20	20	34	54	1	-1497.991	0.000690712	4.746132	-0.000599226	-0.0005262303	-0.0002710132	0	0	0	
0.916	20	20	34	54	1	-1497.991	0.0006888535	4.769087	-0.0001119414	-0.0007758531	-0.0002696014	0	0	0	
0.944	20	20	34	54	1	-1497.99	0.0006899305	4.802006	0.0004705835	0.0003325174	-0.0002613848	0	0	0	
0.984	20	20	34	54	1	-1497.989	0.0006874979	4.850595	0.001190905	0.0002104606	-0.000242938	0	0	0	
1.004	20	20	34	54	1	-1497.989	0.0006807194	4.875565	0.001511865	-0.0006316789	-0.0002418574	0	0	0	
1.04	20	20	34	54	1	-1497.988	0.0006782096	4.921618	0.001200988	-0.002209817	-0.0002538157	0	0	0	
1.068	20	20	34	54	1	-1497.987	0.0006825192	4.953095	0.0003523228	-0.002731516	-0.0002683318	0	0	0	
1.096	20	20	34	54	1	-1497.986	0.0006734624	4.996019	-0.0001373617	-0.002514331	-0.0002876525	0	0	0	
1.132	20	20	34	54	1	-1497.986	0.000643304	5.045585	-4.961154e-05	-0.0002933831	-0.0003133439	0	0	0	
1.148	20	20	34	54	1	-1497.985	0.0006185365	5.068041	0.0004059045	0.0008565319	-0.0003225854	0	0	0	
1.184	20	20	34	55	1	-1497.984	0.0005491487	5.119505	0.001698017	0.001931125	-0.0003406368	0	0	0	
1.204	20	20	34	55	1	-1497.984	0.0005092482	5.148652	0.002164217	0.001033366	-0.0003514049	0	0	0	
1.232	20	20	34	55	1	-1497.983	0.0004478938	5.190116	0.002472081	-0.0001210159	-0.0003585419	0	0	0	
1.248	20	20	34	55	1	-1497.983	0.0004112789	5.214149	0.002389368	-0.0002379696	-0.0003595085	0	0	0	
1.28	20	20	34	55	1	-1497.982	0.0003525657	5.262937	0.001104282	0.0007435471	-0.0003603184	0	0	0	
1.304	20	20	34	55	1	-1497.981	0.0003276784	5.300152	-0.0008044546	0.001384001	-0.0003585362	0	0	0	
1.332	20	20	34	55	1	-1497.981	0.0003119371	5.344231	-0.00322239	0.001111309	-0.0003606478	0	0	0	
1.376	20	20	34	55	1	-1497.98	0.0002766102	5.414908	-0.004635259	-0.0008821124	-0.0003656922	0	0	0	
1.404	20	20	34	55	1	-1497.979	0.0002680919	5.460766	-0.004314609	-0.0006800138	-0.0003758256	0	0	0	
1.432	20	20	34	55	1	-1497.978	0.0002635502	5.507296	-0.002879787	0.000246022	-0.0003827153	0	0	0	
