time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	20	17	59	46	0	0	0	0	0	0	0	0	0	0	
0	20	17	59	46	1	-1504	-1.481286e-07	4.2755	0	0	0	0	0	0	
0.04	20	17	59	46	1	-1504	-1.481286e-07	4.2755	0	0	0	0	0	0	
0.064	20	17	59	46	1	-1504	-4.110667e-07	4.275497	0	0	0	0	0	0	
0.096	20	17	59	46	1	-1504	-1.285259e-05	4.275507	0	0	0	0	0	0	
0.112	20	17	59	46	1	-1504	-2.485057e-05	4.275516	0	0	0	0	0	0	
0.144	20	17	59	46	1	-1504	-5.368512e-05	4.275535	0	0	0	0	0	0	
0.156	20	17	59	46	1	-1504	-6.58229e-05	4.275542	0	0	0	0	0	0	
0.192	20	17	59	46	1	-1504	-0.000102128	4.275564	0	0	0	0	0	0	
0.232	20	17	59	46	1	-1504	-0.0001583559	4.275584	0	0	0	0	0	0	
0.248	20	17	59	46	1	-1504	-0.00017736	4.275589	0	0	0	0	0	0	
0.288	20	17	59	46	1	-1504	-0.0002146911	4.275607	0	0	0	0	0	0	
0.3	20	17	59	46	1	-1504	-0.0002230668	4.275611	-0.0003147851	0.0005057008	-0.0001168037	0	0	0	
0.336	20	17	59	46	1	-1504	-0.0002722641	4.275867	-0.0004511914	0.001948887	-0.0001101602	0	0	0	
0.352	20	17	59	46	1	-1504	-0.000307851	4.276765	-0.0002251817	0.001502787	-0.0001043408	0	0	0	
0.384	20	17	59	46	1	-1503.999	-0.000367353	4.279817	0.000333226	0.0002375593	-8.496143e-05	0	0	0	
0.404	20	17	59	46	1	-1503.999	-0.0004043598	4.282766	0.0006250458	-5.722889e-05	-6.752274e-05	0	0	0	
0.432	20	17	59	47	1	-1503.999	-0.0004619679	4.288249	0.001059661	0.0005180094	-4.330484e-05	0	0	0	
0.46	20	17	59	47	1	-1503.999	-0.0005384283	4.295317	0.00180463	0.001180275	-2.240217e-05	0	0	0	
0.48	20	17	59	47	1	-1503.999	-0.0005989316	4.301336	0.00220846	0.001039176	-5.658076e-06	0	0	0	
0.496	20	17	59	47	1	-1503.999	-0.000647646	4.306732	0.002290329	0.0006765484	8.49356e-06	0	0	0	
0.528	20	17	59	47	1	-1503.998	-0.0007453378	4.319074	0.001776364	-6.610028e-05	4.461445e-05	0	0	0	
0.556	20	17	59	47	1	-1503.998	-0.0008346239	4.331565	0.0008601179	-0.001004837	7.31467e-05	0	0	0	
0.576	20	17	59	47	1	-1503.998	-0.0008988413	4.341454	4.103307e-05	-0.001619242	8.93425e-05	0	0	0	
0.612	20	17	59	47	1	-1503.998	-0.001024456	4.361292	-0.001024489	-0.000449159	0.0001172796	0	0	0	
0.628	20	17	59	47	1	-1503.998	-0.00106587	4.368487	-0.001295844	0.0002629332	0.0001256742	0	0	0	
0.664	20	17	59	47	1	-1503.997	-0.00120725	4.394576	-0.001463317	0.001884822	0.0001465079	0	0	0	
0.676	20	17	59	47	1	-1503.997	-0.00125142	4.403033	-0.001335789	0.001667617	0.0001496603	0	0	0	
0.716	20	17	59	47	1	-1503.997	-0.001392918	4.433295	-0.0003015137	-0.00210339	0.0001672521	0	0	0	
0.732	20	17	59	47	1	-1503.997	-0.001448675	4.446285	0.0001483277	-0.002967808	0.0001697605	0	0	0	
0.768	20	17	59	47	1	-1503.996	-0.001571733	4.477332	0.0009838658	-0.0009831704	0.0001802069	0	0	0	
0.816	20	17	59	47	1	-1503.996	-0.001730152	4.518647	0.001524954	0.003774575	0.0001937516	0	0	0	
0.832	20	17	59	47	1	-1503.995	-0.001794457	4.538631	0.001194061	0.003745334	0.0001932805	0	0	0	
0.864	20	17	59	47	1	-1503.995	-0.001885189	4.572143	-0.0001629224	0.0007685211	0.0001876984	0	0	0	
0.892	20	17	59	47	1	-1503.995	-0.001958279	4.602995	-0.001517028	-0.00245798	0.0001901584	0	0	0	
0.912	20	17	59	47	1	-1503.994	-0.002009895	4.625895	-0.002230329	-0.004286085	0.0001956787	0	0	0	
0.944	20	17	59	47	1	-1503.994	-0.002093574	4.664006	-0.002561414	-0.00341548	0.0001911165	0	0	0	
0.964	20	17	59	48	1	-1503.994	-0.002142278	4.688735	-0.002422831	-0.001745416	0.0001837547	0	0	0	
0.996	20	17	59	48	1	-1503.993	-0.002214024	4.72973	-0.001475223	0.001651491	0.0001721014	0	0	0	
1.012	20	17	59	48	1	-1503.993	-0.002249224	4.750877	-0.0009724827	0.002275381	0.0001706971	0	0	0	
1.044	20	17	59	48	1	-1503.993	-0.002315984	4.794449	0.0006176629	0.001767633	0.0001638845	0	0	0	
1.06	20	17	59	48	1	-1503.992	-0.002348379	4.816866	0.00110693	0.0009944932	0.0001625132	0	0	0	
1.096	20	17	59	48	1	-1503.992	-0.00243044	4.86882	0.0024468	-0.001125393	0.0001592055	0	0	0	
1.12	20	17	59	48	1	-1503.991	-0.002509006	4.904602	0.003429239	-0.001130464	0.0001602061	0	0	0	
1.152	20	17	59	48	1	-1503.991	-0.002637376	4.953713	0.004336287	5.26845e-05	0.0001622926	0	0	0	
1.18	20	17	59	48	1	-1503.99	-0.002756451	4.997977	0.003984663	0.000920821	0.000155448	0	0	0	
1.204	20	17	59	48	1	-1503.99	-0.002862276	5.03686	0.003062375	0.001354823	0.0001476838	0	0	0	
1.236	20	17	59	48	1	-1503.99	-0.00299612	5.083311	0.0008092648	0.001142721	0.0001262106	0	0	0	
1.252	20	17	59	48	1	-1503.989	-0.003067091	5.110373	-0.0002421179	0.0001659928	0.0001150844	0	0	0	
1.292	20	17	59	48	1	-1503.989	-0.003251787	5.18671	-0.004001751	-0.003709652	6.837798e-05	0	0	0	
1.308	20	17	59	48	1	-1503.988	-0.003320834	5.215157	-0.004423663	-0.003486443	5.285922e-05	0	0	0	
1.344	20	17	59	48	1	-1503.988	-0.003479847	5.280475	-0.004084388	-5.061025e-05	5.765996e-06	0	0	0	
1.38	20	17	59	48	1	-1503.987	-0.003642253	5.347581	-0.001617779	0.003527308	-2.560839e-05	0	0	0	
1.404	20	17	59	48	1	-1503.987	-0.003745685	5.393289	0.0004182918	0.003510284	-3.462636e-05	0	0	0	
1.44	20	17	59	48	1	-1503.986	-0.003890439	5.46327	0.002850613	0.001135298	-5.079442e-05	0	0	0	
1.464	20	17	59	48	1	-1503.985	-0.003982406	5.510857	0.003644918	-0.0008048113	-7.237635e-05	0	0	0	
1.488	20	17	59	48	1	-1503.985	-0.004065652	5.55918	0.003315232	-0.001433794	-8.43605e-05	0	0	0	
1.516	20	17	59	49	1	-1503.984	-0.004142879	5.616468	0.001406941	-0.00133894	-9.145952e-05	0	0	0	
1.536	20	17	59	49	1	-1503.984	-0.004193599	5.657978	-0.0003963522	-0.0007536514	-9.596627e-05	0	0	0	
1.58	20	17	59	49	1	-1503.983	-0.004297524	5.751	-0.003992918	0.0001914347	-0.0001003428	0	0	0	
1.612	20	17	59	49	1	-1503.982	-0.004367897	5.820093	-0.00512105	-0.0005434489	-9.597246e-05	0	0	0	
1.636	20	17	59	49	1	-1503.982	-0.004413767	5.87269	-0.004960153	-0.0007608251	-9.25082e-05	0	0	0	
1.68	20	17	59	49	1	-1503.981	-0.004489629	5.970808	-0.002122442	-2.540409e-05	-8.334067e-05	0	0	0	
1.712	20	17	59	49	1	-1503.98	-0.004529115	6.043508	0.0004745547	0.0003307848	-6.780604e-05	0	0	0	
1.736	20	17	59	49	1	-1503.979	-0.004541	6.098756	0.001771233	0.001409805	-4.858163e-05	0	0	0	
