time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	21	19	53	13	0	0	0	0	0	0	0	0	0	0	9335.743	9132.142	9137.65	9317.92	9382.861	8964.796	9209.052	
0	21	19	53	13	1	-1492	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.744	9132.141	9137.65	9317.912	9382.863	8964.796	9209.051	
0.008	21	19	53	13	1	-1492	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.745	9132.141	9137.65	9317.91	9382.863	8964.796	9209.051	
0.02	21	19	53	13	1	-1492	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.746	9132.141	9137.65	9317.906	9382.864	8964.795	9209.05	
0.044	21	19	53	13	1	-1492	1.159309e-07	4.2755	0	0	0	0	0	0	9335.747	9132.14	9137.65	9317.898	9382.865	8964.795	9209.049	
0.056	21	19	53	13	1	-1492	-1.38799e-07	4.275498	0	0	0	0	0	0	9335.747	9132.14	9137.65	9317.894	9382.865	8964.794	9209.049	
0.064	21	19	53	13	1	-1492	-1.38799e-07	4.275498	0	0	0	0	0	0	9335.748	9132.14	9137.65	9317.892	9382.866	8964.794	9209.049	
0.08	21	19	53	13	1	-1492	-2.276764e-06	4.2755	0	0	0	0	0	0	9335.749	9132.139	9137.649	9317.886	9382.867	8964.794	9209.048	
0.104	21	19	53	13	1	-1492	3.240568e-06	4.275513	-7.593882e-05	0.001008159	4.917682e-05	0	0	0	9335.75	9132.139	9137.649	9317.879	9382.868	8964.793	9209.047	
0.104	21	19	53	13	1	-1492	3.240568e-06	4.275513	-7.593882e-05	0.001008159	4.917682e-05	0	0	0	9335.75	9132.139	9137.649	9317.879	9382.868	8964.793	9209.047	
0.116	21	19	53	13	1	-1492	1.026953e-05	4.275518	-0.0002671973	0.001123939	0.0001015152	0	0	0	9335.75	9132.139	9137.649	9317.875	9382.868	8964.793	9209.046	
