time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	21	19	21	44	0	0	0	0	0	0	0	0	0	0	9533.659	9132.128	9137.636	9309.024	9382.995	8964.843	9209.035	
0	21	19	21	44	1	-1500	2.050588e-08	4.2755	0	0	0	0	0	0	9533.662	9132.129	9137.634	9309.007	9382.998	8964.846	9209.035	
-474.932	21	19	21	45	1	-1500	2.307272e-06	4.275502	0	0	0	0	0	0	9533.665	9132.13	9137.633	9308.99	9383.001	8964.85	9209.035	
-474.884	21	19	21	45	1	-1500	3.314846e-05	4.27553	0	0	0	0	0	0	9533.668	9132.131	9137.632	9308.974	9383.004	8964.853	9209.035	
-474.84	21	19	21	45	1	-1500	8.172359e-05	4.275589	0	0	0	0	0	0	9533.67	9132.132	9137.631	9308.958	9383.007	8964.856	9209.034	
-474.796	21	19	21	45	1	-1500	9.111557e-05	4.275658	0	0	0	0	0	0	9533.673	9132.134	9137.63	9308.943	9383.01	8964.859	9209.034	
-474.748	21	19	21	45	1	-1500	8.695961e-05	4.275743	0	0	0	0	0	0	9533.676	9132.135	9137.629	9308.927	9383.012	8964.863	9209.034	
-474.7	21	19	21	45	1	-1500	6.060327e-05	4.275828	0	0	0	0	0	0	9533.679	9132.136	9137.628	9308.91	9383.014	8964.867	9209.033	
0.304	21	19	21	45	1	-1499.999	2.053403e-05	4.275921	0	0	0	0	0	0	9533.683	9132.137	9137.627	9308.894	9383.016	8964.87	9209.032	
0.352	21	19	21	45	1	-1499.999	1.303436e-05	4.276019	0	0	0	0	0	0	9533.686	9132.139	9137.625	9308.877	9383.018	8964.874	9209.032	
0.4	21	19	21	45	1	-1499.999	4.136941e-05	4.276091	0	0	0	0	0	0	9533.688	9132.139	9137.625	9308.867	9383.019	8964.876	9209.031	
-474.524	21	19	21	45	1	-1499.999	8.871616e-05	4.276201	0	0	0	0	0	0	9533.691	9132.141	9137.624	9308.85	9383.021	8964.879	9209.031	
-474.472	21	19	21	45	1	-1499.998	0.000124914	4.276331	0	0	0	0	0	0	9533.695	9132.142	9137.623	9308.833	9383.022	8964.883	9209.03	
0.536	21	19	21	45	1	-1499.998	0.0001799743	4.276464	0	0	0	0	0	0	9533.698	9132.143	9137.621	9308.816	9383.023	8964.887	9209.029	
-474.376	21	19	21	45	1	-1499.997	0.0002858198	4.276592	0	0	0	0	0	0	9533.701	9132.144	9137.62	9308.8	9383.024	8964.89	9209.028	
0.632	21	19	21	45	1	-1499.997	0.0004131994	4.276703	0	0	0	0	0	0	9533.704	9132.145	9137.619	9308.785	9383.024	8964.893	9209.027	
-474.284	21	19	21	45	1	-1499.996	0.0005460569	4.276826	0	0	0	0	0	0	9533.706	9132.147	9137.618	9308.769	9383.024	8964.896	9209.026	
-474.236	21	19	21	45	1	-1499.996	0.0006691354	4.276954	-0.001191437	0.002480953	0.001208699	0	0	0	9533.709	9132.148	9137.617	9308.753	9383.024	8964.899	9209.025	
0.756	21	19	21	45	1	-1499.996	0.000750011	4.27726	-0.001237083	-0.0005816166	0.001206802	0	0	0	9533.711	9132.149	9137.617	9308.743	9383.024	8964.901	9209.025	
-474.172	21	19	21	45	1	-1499.995	0.0008375101	4.278998	-0.0009789721	-0.00184757	0.001215199	0	0	0	9533.713	9132.149	9137.616	9308.732	9383.024	8964.902	9209.024	
-474.124	21	19	21	45	1	-1499.995	0.000979345	4.285114	-0.0003432054	-0.001549302	0.001233834	0	0	0	9533.715	9132.15	9137.615	9308.716	9383.024	8964.905	9209.023	
