time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	21	19	53	13	0	0	0	0	0	0	0	0	0	0	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	
0	21	19	53	13	0	0	0	0	0	0	0	0	0	0	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	
0	21	19	53	13	1	-1494	-3.485602e-08	4.2755	0	0	0	0	0	0	9335.747	9132.14	9137.65	9317.894	9382.865	8964.794	9209.049	
0.004	21	19	53	13	1	-1494	-3.485602e-08	4.2755	0	0	0	0	0	0	9335.748	9132.14	9137.65	9317.893	9382.866	8964.794	9209.049	
0.024	21	19	53	13	1	-1494	-3.485602e-08	4.2755	0	0	0	0	0	0	9335.749	9132.139	9137.649	9317.886	9382.867	8964.794	9209.048	
0.048	21	19	53	13	1	-1494	-3.485602e-08	4.2755	0	0	0	0	0	0	9335.75	9132.139	9137.649	9317.879	9382.868	8964.793	9209.047	
0.048	21	19	53	13	1	-1494	-3.485602e-08	4.2755	0	0	0	0	0	0	9335.75	9132.139	9137.649	9317.879	9382.868	8964.793	9209.047	
0.056	21	19	53	13	1	-1494	-3.485602e-08	4.2755	0	0	0	0	0	0	9335.75	9132.139	9137.649	9317.876	9382.868	8964.793	9209.047	
0.076	21	19	53	14	1	-1494	1.845004e-06	4.275499	0	0	0	0	0	0	9335.751	9132.138	9137.649	9317.87	9382.869	8964.793	9209.046	
0.096	21	19	53	14	1	-1494	5.638962e-06	4.275509	0	0	0	0	0	0	9335.752	9132.138	9137.649	9317.864	9382.87	8964.792	9209.045	
0.096	21	19	53	14	1	-1494	5.638962e-06	4.275509	0	0	0	0	0	0	9335.752	9132.138	9137.649	9317.864	9382.87	8964.792	9209.045	
0.112	21	19	53	14	1	-1494	8.620051e-06	4.275527	-9.247681e-05	0.001263505	-6.186353e-06	0	0	0	9335.753	9132.137	9137.649	9317.858	9382.871	8964.792	9209.044	
0.132	21	19	53	14	1	-1494	5.400169e-06	4.275575	-3.173248e-05	0.001656966	-5.652764e-05	0	0	0	9335.754	9132.137	9137.649	9317.852	9382.872	8964.791	9209.043	
0.144	21	19	53	14	1	-1494	6.167151e-06	4.275725	-9.086304e-05	0.001734659	-8.961736e-05	0	0	0	9335.755	9132.137	9137.649	9317.848	9382.872	8964.791	9209.043	
0.144	21	19	53	14	1	-1494	6.167151e-06	4.275725	-9.086304e-05	0.001734659	-8.961736e-05	0	0	0	9335.755	9132.137	9137.649	9317.848	9382.872	8964.791	9209.043	
0.156	21	19	53	14	1	-1494	8.322812e-06	4.276036	-0.0001887344	0.001567122	-0.0001228624	0	0	0	9335.755	9132.136	9137.648	9317.845	9382.873	8964.791	9209.042	
0.176	21	19	53	14	1	-1494	7.882954e-06	4.27696	-0.0001796909	0.001363232	-0.0001763321	0	0	0	9335.756	9132.136	9137.648	9317.838	9382.874	8964.79	9209.041	
0.192	21	19	53	14	1	-1494	6.278919e-06	4.278078	-0.0001007008	0.001719774	-0.0002146775	0	0	0	9335.757	9132.136	9137.648	9317.833	9382.875	8964.79	9209.04	
0.196	21	19	53	14	1	-1494	6.278919e-06	4.278078	-6.218202e-05	0.001881419	-0.0002231855	0	0	0	9335.757	9132.136	9137.648	9317.833	9382.875	8964.79	9209.04	
0.212	21	19	53	14	1	-1494	-4.53435e-07	4.279953	0.0001823826	0.002495241	-0.000256229	0	0	0	9335.758	9132.135	9137.648	9317.827	9382.876	8964.79	9209.04	
0.236	21	19	53	14	1	-1494	-8.13272e-06	4.282904	0.0004851809	0.00280886	-0.0003039798	0	0	0	9335.759	9132.135	9137.647	9317.82	9382.877	8964.789	9209.038	
0.24	21	19	53	14	1	-1493.999	-9.304316e-06	4.283469	0.0005248352	0.002747871	-0.0003116089	0	0	0	9335.759	9132.135	9137.647	9317.819	9382.877	8964.789	9209.038	
0.252	21	19	53	14	1	-1493.999	-1.149966e-05	4.284663	0.0006097603	0.002319806	-0.000332964	0	0	0	9335.759	9132.134	9137.647	9317.816	9382.877	8964.789	9209.038	
0.272	21	19	53	14	1	-1493.999	-1.30486e-05	4.288743	0.0005369468	0.001086575	-0.000361689	0	0	0	9335.76	9132.134	9137.647	9317.809	9382.878	8964.788	9209.037	
0.288	21	19	53	14	1	-1493.999	-7.764517e-06	4.291878	0.0002258475	0.000176522	-0.0003806676	0	0	0	9335.761	9132.134	9137.646	9317.804	9382.879	8964.788	9209.036	
0.288	21	19	53	14	1	-1493.999	-7.764517e-06	4.291878	0.0002258475	0.000176522	-0.0003806676	0	0	0	9335.761	9132.134	9137.646	9317.804	9382.879	8964.788	9209.036	
0.3	21	19	53	14	1	-1493.999	-2.032773e-07	4.294442	-0.0001432188	-0.0002567394	-0.0003930123	0	0	0	9335.761	9132.133	9137.646	9317.8	9382.88	8964.788	9209.035	
0.328	21	19	53	14	1	-1493.999	1.866019e-05	4.300119	-0.00105277	-0.0005950314	-0.0004173088	0	0	0	9335.762	9132.133	9137.646	9317.793	9382.881	8964.788	9209.034	
0.336	21	19	53	15	1	-1493.999	2.679847e-05	4.30323	-0.001234307	-0.000629991	-0.00042408	0	0	0	9335.763	9132.133	9137.646	9317.789	9382.881	8964.787	9209.034	
0.34	21	19	53	15	1	-1493.999	2.913832e-05	4.304307	-0.001300821	-0.0006186173	-0.0004277627	0	0	0	9335.763	9132.133	9137.645	9317.788	9382.881	8964.787	9209.034	
0.368	21	19	53	15	1	-1493.999	4.183061e-05	4.312402	-0.001389859	8.070989e-05	-0.0004545156	0	0	0	9335.764	9132.132	9137.645	9317.779	9382.882	8964.787	9209.032	
0.384	21	19	53	15	1	-1493.999	4.749614e-05	4.317463	-0.001187908	0.0009052162	-0.0004678042	0	0	0	9335.765	9132.132	9137.644	9317.774	9382.883	8964.787	9209.032	
0.392	21	19	53	15	1	-1493.998	4.708685e-05	4.32011	-0.0009266222	0.001371873	-0.0004734791	0	0	0	9335.765	9132.132	9137.644	9317.772	9382.883	8964.787	9209.031	
0.424	21	19	53	15	1	-1493.998	3.020753e-05	4.329987	0.0009380814	0.002737952	-0.0004962015	0	0	0	9335.766	9132.131	9137.644	9317.763	9382.884	8964.786	9209.03	
0.432	21	19	53	15	1	-1493.998	1.717671e-05	4.334506	0.001512047	0.002932155	-0.0005013551	0	0	0	9335.766	9132.131	9137.643	9317.76	9382.885	8964.786	9209.029	
0.44	21	19	53	15	1	-1493.998	8.838591e-06	4.337615	0.00203131	0.003046943	-0.0005065981	0	0	0	9335.767	9132.131	9137.643	9317.757	9382.885	8964.786	9209.029	
0.464	21	19	53	15	1	-1493.998	-1.968165e-05	4.347392	0.003380587	0.002852368	-0.0005255954	0	0	0	9335.767	9132.131	9137.643	9317.75	9382.886	8964.786	9209.028	
0.48	21	19	53	15	1	-1493.998	-4.034717e-05	4.354284	0.003956952	0.002288474	-0.0005390233	0	0	0	9335.768	9132.131	9137.642	9317.745	9382.887	8964.785	9209.027	
0.484	21	19	53	15	1	-1493.998	-4.619562e-05	4.356054	0.004067922	0.00206535	-0.000542143	0	0	0	9335.768	9132.131	9137.642	9317.744	9382.887	8964.785	9209.027	
0.512	21	19	53	15	1	-1493.997	-9.160502e-05	4.368955	0.004298628	2.46753e-05	-0.0005632056	0	0	0	9335.769	9132.13	9137.641	9317.736	9382.888	8964.785	9209.025	
0.528	21	19	53	15	1	-1493.997	-0.000121489	4.376727	0.004006765	-0.001009251	-0.0005769277	0	0	0	9335.77	9132.13	9137.641	9317.731	9382.888	8964.785	9209.025	
0.532	21	19	53	15	1	-1493.997	-0.0001294244	4.378715	0.00375323	-0.001343439	-0.0005836518	0	0	0	9335.77	9132.13	9137.641	9317.729	9382.888	8964.785	9209.024	
0.564	21	19	53	15	1	-1493.997	-0.0001938567	4.395267	0.002233484	-0.001682481	-0.0006018608	0	0	0	9335.771	9132.13	9137.64	9317.72	9382.889	8964.785	9209.023	
0.576	21	19	53	15	1	-1493.996	-0.000216122	4.401769	0.001291409	-0.001321115	-0.0006077685	0	0	0	9335.771	9132.13	9137.64	9317.716	9382.89	8964.785	9209.022	
0.584	21	19	53	15	1	-1493.996	-0.0002236665	4.403971	0.0006456181	-0.001001782	-0.0006106026	0	0	0	9335.771	9132.13	9137.64	9317.715	9382.89	8964.785	9209.022	
0.612	21	19	53	15	1	-1493.996	-0.0002894331	4.422223	-0.001493688	7.668401e-05	-0.0006174069	0	0	0	9335.772	9132.13	9137.639	9317.706	9382.891	8964.784	9209.021	
0.624	21	19	53	15	1	-1493.996	-0.000316941	4.429353	-0.002208975	0.0003797518	-0.0006172688	0	0	0	9335.772	9132.13	9137.638	9317.702	9382.891	8964.784	9209.02	
