time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	21	19	53	14	0	0	0	0	0	0	0	0	0	0	9335.752	9132.138	9137.649	9317.864	9382.87	8964.792	9209.045	
0	21	19	53	14	1	-1500	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.752	9132.138	9137.649	9317.862	9382.87	8964.792	9209.045	
0.02	21	19	53	14	1	-1500	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.753	9132.137	9137.649	9317.856	9382.871	8964.792	9209.044	
0.044	21	19	53	14	1	-1500	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.755	9132.137	9137.649	9317.848	9382.872	8964.791	9209.043	
0.044	21	19	53	14	1	-1500	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.755	9132.137	9137.649	9317.848	9382.872	8964.791	9209.043	
0.044	21	19	53	14	1	-1500	-3.485603e-08	4.2755	0	0	0	0	0	0	9335.755	9132.137	9137.649	9317.848	9382.872	8964.791	9209.043	
0.064	21	19	53	14	1	-1500	-3.485603e-08	4.2755	-7.752758e-10	0.0007966655	-3.813692e-07	0	0	0	9335.756	9132.136	9137.648	9317.842	9382.873	8964.791	9209.042	
0.084	21	19	53	14	1	-1500	-1.247164e-07	4.275526	-7.291276e-06	0.0008215071	-8.756076e-07	0	0	0	9335.756	9132.136	9137.648	9317.836	9382.874	8964.79	9209.041	
0.092	21	19	53	14	1	-1500	2.775498e-07	4.27562	-2.601216e-05	0.000868171	-1.746238e-06	0	0	0	9335.757	9132.136	9137.648	9317.833	9382.875	8964.79	9209.04	
0.1	21	19	53	14	1	-1500	1.072484e-06	4.275807	-7.128124e-05	0.001019497	-2.917567e-06	0	0	0	9335.757	9132.135	9137.648	9317.831	9382.875	8964.79	9209.04	
0.124	21	19	53	14	1	-1500	4.229705e-06	4.277018	-0.0001481861	0.001339319	-4.326274e-06	0	0	0	9335.758	9132.135	9137.648	9317.823	9382.876	8964.789	9209.039	
0.14	21	19	53	14	1	-1500	8.102767e-06	4.278405	-0.0002431705	0.001598294	-2.35197e-06	0	0	0	9335.759	9132.135	9137.647	9317.819	9382.877	8964.789	9209.038	
0.14	21	19	53	14	1	-1500	8.102767e-06	4.278405	-0.0002431705	0.001598294	-2.35197e-06	0	0	0	9335.759	9132.135	9137.647	9317.819	9382.877	8964.789	9209.038	
0.16	21	19	53	14	1	-1500	1.496852e-05	4.280805	-0.0003840562	0.00195119	-1.304488e-06	0	0	0	9335.76	9132.134	9137.647	9317.812	9382.878	8964.789	9209.037	
0.18	21	19	53	14	1	-1500	2.089675e-05	4.283258	-0.0004839741	0.002335111	-4.411929e-06	0	0	0	9335.761	9132.134	9137.647	9317.806	9382.879	8964.788	9209.037	
0.188	21	19	53	14	1	-1500	2.72263e-05	4.285409	-0.0005461193	0.002527837	-6.251593e-06	0	0	0	9335.761	9132.134	9137.646	9317.804	9382.879	8964.788	9209.036	
