time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	22	20	14	42	0	0	0	0	0	0	0	0	0	0	
0	22	20	14	42	1	-1500	1.999996	4.234999	0	0	0	0	0	0	
0.052	22	20	14	42	1	-1500	1.999996	4.234999	0	0	0	0	0	0	
0.096	22	20	14	42	1	-1500	1.999997	4.235019	0	0	0	0	0	0	
0.144	22	20	14	42	1	-1500	1.999969	4.23511	0	0	0	0	0	0	
0.192	22	20	14	42	1	-1500	1.999908	4.23526	0	0	0	0	0	0	
0.244	22	20	14	42	1	-1500	1.999821	4.235437	0	0	0	0	0	0	
0.292	22	20	14	42	1	-1500	1.999714	4.235645	0	0	0	0	0	0	
0.34	22	20	14	42	1	-1499.999	1.999611	4.235802	0	0	0	0	0	0	
0.388	22	20	14	42	1	-1499.999	1.999522	4.235914	-0.001369532	-0.002007173	-0.001695307	0	0	0	
0.432	22	20	14	42	1	-1499.999	1.999453	4.236916	-0.002554048	0.0004006777	-0.001900036	0	0	0	
0.48	22	20	14	42	1	-1499.998	1.999445	4.242025	-0.002060064	0.0004872021	-0.002032602	0	0	0	
0.528	22	20	14	42	1	-1499.998	1.999491	4.251867	-0.001357001	-0.0002226717	-0.002139896	0	0	0	
0.576	22	20	14	42	1	-1499.997	1.999563	4.265062	2.840727e-05	-0.0001725589	-0.002185097	0	0	0	
0.624	22	20	14	42	1	-1499.996	1.999647	4.285829	0.001024998	0.001606902	-0.0021815	0	0	0	
0.672	22	20	14	42	1	-1499.996	1.999697	4.310009	-1.880056e-06	0.001006363	-0.002164727	0	0	0	
0.7	22	20	14	42	1	-1499.995	1.999722	4.326331	-0.0002295532	-0.00209837	-0.00214604	0	0	0	
0.74	22	20	14	42	1	-1499.994	1.99976	4.352494	0.0002836566	-0.001002772	-0.002134444	0	0	0	
0.772	22	20	14	42	1	-1499.994	1.999783	4.3728	0.0009381154	-0.001524145	-0.002124881	0	0	0	
0.812	22	20	14	43	1	-1499.993	1.999798	4.407984	0.001912991	-0.005259858	-0.002105865	0	0	0	
0.864	22	20	14	43	1	-1499.992	1.999765	4.450949	0.001705133	-0.003920292	-0.002070098	0	0	0	
