time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	suav_1_x	suav_1_y	suav_1_z	suav_2_x	suav_2_y	suav_2_z	suav_3_x	suav_3_y	suav_3_z	suav_4_x	suav_4_y	suav_4_z	suav_5_x	suav_5_y	suav_5_z	suav_6_x	suav_6_y	suav_6_z	suav_7_x	suav_7_y	suav_7_z	suav_8_x	suav_8_y	suav_8_z	suav_9_x	suav_9_y	suav_9_z	suav_10_x	suav_10_y	suav_10_z	
35.768	21	19	30	11	-1200.075	-25.14762	0.4619339	-599.9906	-200.0063	0.3247226	-699.9986	-99.99867	0.418646	-1182.374	150.0056	0.3304715	-1000.121	-200.0434	0.2717443	-600.1022	99.99692	0.1850704	-899.9989	-0.001575245	0.388417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.8	21	19	30	11	-1200.075	-25.14786	0.4617279	-599.9906	-200.0063	0.3252808	-699.9986	-99.99867	0.4168924	-1182.357	150.0056	0.3311134	-1000.121	-200.0435	0.2730808	-600.1023	99.99692	0.1851908	-899.9988	-0.001573032	0.3874442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.844	21	19	30	11	-1200.076	-25.14819	0.4609952	-599.9906	-200.0063	0.3262105	-699.9986	-99.99866	0.4143937	-1182.335	150.0056	0.3321549	-1000.121	-200.0435	0.2749903	-600.1024	99.99693	0.1856325	-899.9988	-0.001570346	0.3861015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.884	21	19	30	11	-1200.077	-25.14848	0.4598994	-599.9905	-200.0063	0.3272256	-699.9986	-99.99866	0.4120558	-1182.314	150.0056	0.3332526	-1000.121	-200.0436	0.2767924	-600.1025	99.99694	0.1863108	-899.9987	-0.001568263	0.3848775	0	0	0	0	0	0	0	0	0	0	0	0	-1500	1.649985e-07	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.924	21	19	30	12	-1200.078	-25.14877	0.4584143	-599.9905	-200.0063	0.3284099	-699.9986	-99.99866	0.409686	-1182.293	150.0056	0.3344838	-1000.121	-200.0437	0.2786493	-600.1026	99.99694	0.1872503	-899.9987	-0.001566172	0.3836525	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-1.152006e-07	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.964	21	19	30	12	-1200.078	-25.14906	0.4565448	-599.9905	-200.0063	0.3297674	-699.9986	-99.99865	0.4073176	-1182.273	150.0056	0.3358388	-1000.121	-200.0437	0.2805539	-600.1028	99.99695	0.1884472	-899.9987	-0.001563649	0.3824293	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-6.884661e-07	4.275508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	21	19	30	12	-1200.079	-25.14932	0.454541	-599.9904	-200.0064	0.331137	-699.9986	-99.99865	0.4052114	-1182.254	150.0056	0.3371556	-1000.121	-200.0438	0.2823064	-600.1029	99.99695	0.1897412	-899.9986	-0.001560862	0.3813322	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-2.550743e-05	4.275529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.032	21	19	30	12	-1200.079	-25.14956	0.4525107	-599.9904	-200.0064	0.3324694	-699.9986	-99.99865	0.4033721	-1182.238	150.0056	0.3383973	-1000.121	-200.0439	0.2838951	-600.103	99.99696	0.1910616	-899.9986	-0.001558088	0.380362	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-6.512129e-05	4.275556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.08	21	19	30	12	-1200.08	-25.1499	0.4490254	-599.9904	-200.0064	0.3346633	-699.9986	-99.99864	0.40068	-1182.213	150.0056	0.3403765	-1000.121	-200.0439	0.2863347	-600.1031	99.99697	0.1933386	-899.9986	-0.00155387	0.3789183	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.0001719502	4.27563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.128	21	19	30	12	-1200.081	-25.15025	0.4450295	-599.9903	-200.0064	0.3370768	-699.9986	-99.99864	0.3980612	-1182.189	150.0056	0.3424906	-1000.121	-200.044	0.2888389	-600.1032	99.99697	0.1959675	-899.9985	-0.001550004	0.3774924	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.0002930463	4.275717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
