time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	suav_1_x	suav_1_y	suav_1_z	suav_2_x	suav_2_y	suav_2_z	suav_3_x	suav_3_y	suav_3_z	suav_4_x	suav_4_y	suav_4_z	suav_5_x	suav_5_y	suav_5_z	suav_6_x	suav_6_y	suav_6_z	suav_7_x	suav_7_y	suav_7_z	suav_8_x	suav_8_y	suav_8_z	suav_9_x	suav_9_y	suav_9_z	suav_10_x	suav_10_y	suav_10_z	
36.664	27	18	26	13	-1075.386	-25.14206	0.4161442	-599.9899	-200.0066	0.3729284	-699.9989	-99.99859	0.3719917	-1181.913	150.0056	0.372944	-1000.122	-200.0448	0.3179526	-600.1048	99.99706	0.2461669	-899.998	-0.001489895	0.3637965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.708	27	18	26	13	-1075.387	-25.1422	0.4220582	-599.9898	-200.0067	0.3761331	-699.9989	-99.99859	0.3700998	-1181.891	150.0056	0.3755969	-1000.122	-200.0449	0.3202112	-600.105	99.99706	0.2515541	-899.998	-0.001484292	0.3629211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.756	27	18	26	13	-1075.387	-25.14237	0.4283151	-599.9898	-200.0067	0.3795601	-699.9989	-99.99859	0.3680054	-1181.866	150.0056	0.3784794	-1000.122	-200.045	0.32261	-600.1052	99.99706	0.2575604	-899.9979	-0.001477679	0.3620179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.8	27	18	26	13	-1075.387	-25.14253	0.4338369	-599.9898	-200.0067	0.3826212	-699.999	-99.99859	0.3660502	-1181.844	150.0056	0.3811014	-1000.122	-200.0451	0.3247323	-600.1054	99.99706	0.2631607	-899.9979	-0.001470951	0.361238	0	0	0	0	0	0	0	0	0	0	0	0	-1500	3.986119e-08	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.84	27	18	26	13	-1075.388	-25.14268	0.4386515	-599.9897	-200.0067	0.3853304	-699.999	-99.99858	0.3642427	-1181.823	150.0056	0.3834521	-1000.122	-200.0451	0.3265849	-600.1056	99.99705	0.268309	-899.9978	-0.001464558	0.3605685	0	0	0	0	0	0	0	0	0	0	0	0	-1500	8.535009e-07	4.275495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.872	27	18	26	13	-1075.388	-25.1428	0.4423458	-599.9897	-200.0067	0.3874462	-699.999	-99.99858	0.3627772	-1181.807	150.0056	0.3852984	-1000.122	-200.0452	0.3280041	-600.1057	99.99704	0.271935	-899.9978	-0.001460149	0.360122	0	0	0	0	0	0	0	0	0	0	0	0	-1500	1.108751e-05	4.275503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.904	27	18	26	13	-1075.389	-25.14293	0.4458874	-599.9897	-200.0068	0.3895159	-699.999	-99.99858	0.3612961	-1181.79	150.0056	0.3871063	-1000.123	-200.0452	0.3293581	-600.1059	99.99704	0.2766129	-899.9978	-0.001454714	0.3595746	0	0	0	0	0	0	0	0	0	0	0	0	-1500	3.139608e-05	4.275528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.948	27	18	26	13	-1075.389	-25.1431	0.4504864	-599.9896	-200.0068	0.3922821	-699.999	-99.99858	0.3592376	-1181.768	150.0056	0.3895207	-1000.123	-200.0453	0.3310981	-600.1061	99.99702	0.2823389	-899.9977	-0.001448343	0.3589463	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-7.569106e-05	4.2756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.992	27	18	26	13	-1075.39	-25.14328	0.4547455	-599.9896	-200.0068	0.394942	-699.9991	-99.99858	0.3571585	-1181.745	150.0056	0.3918498	-1000.123	-200.0454	0.3326833	-600.1064	99.99701	0.2880562	-899.9977	-0.001441849	0.3583637	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.0002635099	4.275736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.032	27	18	26	13	-1075.39	-25.14345	0.458299	-599.9896	-200.0068	0.397247	-699.9991	-99.99857	0.3552565	-1181.725	150.0056	0.3938958	-1000.123	-200.0454	0.333985	-600.1066	99.99699	0.2932309	-899.9976	-0.001435506	0.3578754	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.0004519404	4.275852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.064	27	18	26	13	-1075.39	-25.14358	0.4609094	-599.9896	-200.0068	0.3989988	-699.9991	-99.99857	0.3537319	-1181.708	150.0056	0.3954868	-1000.123	-200.0455	0.3349308	-600.1068	99.99698	0.2973454	-899.9976	-0.001430139	0.357514	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.0006143974	4.275931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.104	27	18	26	13	-1075.391	-25.14375	0.4638661	-599.9895	-200.0069	0.4010589	-699.9991	-99.99857	0.3518316	-1181.688	150.0056	0.397421	-1000.123	-200.0455	0.3359937	-600.1071	99.99696	0.3024445	-899.9975	-0.001423343	0.3570993	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.0007822707	4.276129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.136	27	18	26	13	-1075.391	-25.14389	0.4659753	-599.9895	-200.0069	0.4025978	-699.9991	-99.99857	0.3503249	-1181.671	150.0055	0.3989261	-1000.123	-200.0456	0.336746	-600.1073	99.99694	0.3064787	-899.9975	-0.001418735	0.3568336	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.000898692	4.277261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.156	27	18	26	13	-1075.391	-25.14397	0.4671738	-599.9895	-200.0069	0.4035098	-699.9991	-99.99857	0.349394	-1181.661	150.0055	0.3998478	-1000.123	-200.0456	0.3371696	-600.1074	99.99693	0.3089756	-899.9975	-0.001414961	0.3566219	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.0010067	4.279424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.196	27	18	26	13	-1075.392	-25.14414	0.4692853	-599.9895	-200.0069	0.4052211	-699.9991	-99.99857	0.3475698	-1181.64	150.0055	0.4016482	-1000.123	-200.0457	0.3379012	-600.1076	99.99691	0.313903	-899.9974	-0.001409001	0.3563011	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.00117194	4.285607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.24	27	18	26	13	-1075.392	-25.14433	0.471154	-599.9894	-200.0069	0.4069357	-699.9992	-99.99857	0.3456455	-1181.62	150.0055	0.4033909	-1000.123	-200.0458	0.3384653	-600.1079	99.99689	0.3187271	-899.9974	-0.001403174	0.3560197	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-0.001289772	4.295043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.276	27	18	26	13	-1075.393	-25.14448	0.4723175	-599.9894	-200.0069	0.4082131	-699.9992	-99.99857	0.3441584	-1181.599	150.0055	0.4050744	-1000.123	-200.0458	0.3388464	-600.1082	99.99686	0.3234302	-899.9974	-0.001397082	0.3557766	0	0	0	0	0	0	0	0	0	0	0	0	-1499.999	-0.001410736	4.306332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.312	27	18	26	13	-1075.393	-25.14464	0.4731431	-599.9894	-200.007	0.4093817	-699.9992	-99.99857	0.3427694	-1181.581	150.0055	0.406534	-1000.123	-200.0459	0.3390209	-600.1084	99.99684	0.3275451	-899.9973	-0.001391224	0.35559	0	0	0	0	0	0	0	0	0	0	0	0	-1499.999	-0.001545143	4.321973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.356	27	18	26	13	-1075.394	-25.14482	0.4736829	-599.9894	-200.007	0.4106672	-699.9992	-99.99857	0.3412282	-1181.558	150.0055	0.4082364	-1000.123	-200.046	0.3390029	-600.1087	99.99681	0.3324047	-899.9973	-0.001383785	0.3554019	0	0	0	0	0	0	0	0	0	0	0	0	-1499.999	-0.001665783	4.342933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.392	27	18	26	13	-1075.394	-25.14497	0.4737337	-599.9893	-200.007	0.4116053	-699.9992	-99.99857	0.3401098	-1181.54	150.0055	0.4095541	-1000.123	-200.046	0.3387869	-600.109	99.99679	0.3362297	-899.9972	-0.001377811	0.3552799	0	0	0	0	0	0	0	0	0	0	0	0	-1499.998	-0.001771153	4.363015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.432	27	18	26	14	-1075.394	-25.14513	0.4733716	-599.9893	-200.007	0.4125295	-699.9992	-99.99857	0.339028	-1181.519	150.0055	0.4109345	-1000.123	-200.0461	0.3383219	-600.1093	99.99677	0.3403088	-899.9972	-0.00137217	0.355186	0	0	0	0	0	0	0	0	0	0	0	0	-1499.998	-0.00184352	4.385738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.472	27	18	26	14	-1075.395	-25.14529	0.4725646	-599.9893	-200.007	0.4133272	-699.9992	-99.99857	0.3381207	-1181.499	150.0055	0.4122294	-1000.123	-200.0461	0.3376106	-600.1096	99.99674	0.3441985	-899.9971	-0.001365685	0.355109	0	0	0	0	0	0	0	0	0	0	0	0	-1499.998	-0.001909229	4.417103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
