time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	suav_1_x	suav_1_y	suav_1_z	suav_2_x	suav_2_y	suav_2_z	suav_3_x	suav_3_y	suav_3_z	suav_4_x	suav_4_y	suav_4_z	suav_5_x	suav_5_y	suav_5_z	suav_6_x	suav_6_y	suav_6_z	suav_7_x	suav_7_y	suav_7_z	suav_8_x	suav_8_y	suav_8_z	suav_9_x	suav_9_y	suav_9_z	suav_10_x	suav_10_y	suav_10_z	
93.052	27	19	9	24	499.3191	-25.35371	0.4293448	-1099.978	-20.09364	0.4058125	499.9506	-100.032	0.3769304	513.1219	147.4806	0.3225475	499.7412	-200.2311	0.318544	499.7771	100.0312	0.3142417	-899.9472	0.0001106581	0.3476182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.088	27	19	9	24	499.3182	-25.35397	0.4337317	-1099.978	-20.09375	0.4107405	499.9506	-100.032	0.3807239	513.1398	147.4761	0.3226132	499.7407	-200.2313	0.3230468	499.7768	100.0312	0.3162443	-899.9472	0.0001250472	0.3476044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.124	27	19	9	24	499.3173	-25.35422	0.4378459	-1099.978	-20.09386	0.4143	499.9505	-100.0321	0.3846135	513.1578	147.4717	0.3229181	499.7402	-200.2314	0.3274634	499.7764	100.0312	0.3176353	-899.9471	0.0001392236	0.3476396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.16	27	19	9	24	499.3164	-25.35447	0.4416761	-1099.978	-20.09397	0.4164233	499.9505	-100.0321	0.3882459	513.1737	147.4677	0.3233873	499.7397	-200.2316	0.3313477	499.7761	100.0312	0.3187777	-899.9471	0.000151583	0.3477127	0	0	0	0	0	0	0	0	0	0	0	0	-1500	2.364196e-08	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.18	27	19	9	24	499.3159	-25.35461	0.443678	-1099.978	-20.09403	0.4172774	499.9504	-100.0321	0.391062	513.1857	147.4647	0.3238375	499.7393	-200.2317	0.3342187	499.7758	100.0313	0.3197837	-899.947	0.0001607007	0.3477935	0	0	0	0	0	0	0	0	0	0	0	0	-1500	2.364196e-08	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.22	27	19	9	24	499.3149	-25.35489	0.4474057	-1099.978	-20.09415	0.4192227	499.9504	-100.0321	0.3957825	513.2056	147.4598	0.3246993	499.7387	-200.2319	0.3388351	499.7754	100.0313	0.3218687	-899.947	0.0001756727	0.3479782	0	0	0	0	0	0	0	0	0	0	0	0	-1500	2.724113e-06	4.275697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.26	27	19	9	24	499.3139	-25.35516	0.4507588	-1099.978	-20.09426	0.4223579	499.9503	-100.0321	0.4003198	513.2255	147.4548	0.3256051	499.7381	-200.2321	0.3431163	499.775	100.0313	0.3241735	-899.9469	0.0001905017	0.3482253	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-2.401755e-06	4.278124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.304	27	19	9	24	499.3129	-25.35546	0.4540063	-1099.978	-20.0944	0.426857	499.9502	-100.0322	0.4049769	513.2474	147.4494	0.3265927	499.7375	-200.2323	0.3473753	499.7746	100.0314	0.3262713	-899.9469	0.0002067838	0.3485693	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-1.743044e-05	4.284477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.336	27	19	9	24	499.3122	-25.35564	0.4558285	-1099.978	-20.09448	0.4293941	499.9501	-100.0322	0.4078294	513.2614	147.4459	0.3272378	499.7371	-200.2324	0.3498799	499.7743	100.0314	0.3271596	-899.9468	0.0002171277	0.3488274	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-1.662873e-05	4.290573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.364	27	19	9	25	499.3114	-25.35586	0.4576747	-1099.978	-20.09457	0.430903	499.9501	-100.0322	0.4111292	513.2773	147.4419	0.3280424	499.7366	-200.2325	0.3526114	499.774	100.0314	0.3278271	-899.9468	0.0002288775	0.3491599	0	0	0	0	0	0	0	0	0	0	0	0	-1500	-4.073202e-06	4.299501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.4	27	19	9	25	499.3106	-25.35609	0.4594464	-1099.978	-20.09468	0.4301157	499.95	-100.0323	0.4150468	513.2953	147.4375	0.3290947	499.736	-200.2327	0.3555673	499.7736	100.0314	0.3284691	-899.9467	0.0002419254	0.3495815	0	0	0	0	0	0	0	0	0	0	0	0	-1500	1.334224e-05	4.312037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.44	27	19	9	25	499.3097	-25.35635	0.4610313	-1099.978	-20.0948	0.42699	499.9499	-100.0323	0.4196737	513.3152	147.4325	0.3304694	499.7354	-200.2329	0.3586833	499.7732	100.0315	0.3295176	-899.9467	0.0002561576	0.3501086	0	0	0	0	0	0	0	0	0	0	0	0	-1499.999	5.939688e-05	4.32907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
