time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	30	8	34	40	0	0	0	0	0	0	0	0	0	0	9336	9132.159	9137.607	9312.205	9382.97	8964.858	9209.024	
0	30	8	34	40	0	0	0	0	0	0	0	0	0	0	9336	9132.159	9137.607	9312.205	9382.97	8964.858	9209.024	
0	30	8	34	40	1	-1496	-1.735789e-07	4.2755	0	0	0	0	0	0	9336	9132.159	9137.607	9312.203	9382.97	8964.859	9209.024	
0.016	30	8	34	40	1	-1496	-1.735789e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.198	9382.969	8964.86	9209.024	
0.04	30	8	34	40	1	-1496	-1.735789e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.19	9382.969	8964.861	9209.023	
0.04	30	8	34	40	1	-1496	-1.735789e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.19	9382.969	8964.861	9209.023	
0.052	30	8	34	40	1	-1496	-1.735789e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.186	9382.969	8964.862	9209.023	
0.08	30	8	34	40	1	-1496	-3.708503e-06	4.2755	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.177	9382.969	8964.863	9209.023	
0.088	30	8	34	40	1	-1496	-7.005404e-06	4.275503	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.175	9382.969	8964.864	9209.023	
0.092	30	8	34	40	1	-1496	-9.157987e-06	4.275506	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.173	9382.969	8964.864	9209.023	
0.112	30	8	34	40	1	-1496	-2.397898e-05	4.275518	0.0001938667	0.0008481298	-2.508534e-05	0	0	0	9336.002	9132.161	9137.605	9312.167	9382.968	8964.865	9209.022	
0.136	30	8	34	40	1	-1496	-7.832115e-06	4.275561	-0.0006840851	-0.0004206909	-0.0001395765	0	0	0	9336.002	9132.162	9137.604	9312.16	9382.968	8964.866	9209.022	
0.136	30	8	34	40	1	-1496	7.524077e-07	4.275607	-0.0006840851	-0.0004206909	-0.0001395765	0	0	0	9336.002	9132.162	9137.604	9312.16	9382.968	8964.866	9209.022	
0.14	30	8	34	40	1	-1496	1.030209e-05	4.275675	-0.0009245971	-0.000624161	-0.0001720497	0	0	0	9336.002	9132.162	9137.604	9312.158	9382.968	8964.866	9209.022	
0.16	30	8	34	40	1	-1496	6.186501e-05	4.276427	-0.002140509	-0.0009590954	-0.0003257265	0	0	0	9336.002	9132.162	9137.604	9312.152	9382.968	8964.867	9209.022	
0.18	30	8	34	41	1	-1496	0.0001110846	4.277938	-0.002937551	-0.001019742	-0.000461229	0	0	0	9336.002	9132.163	9137.603	9312.146	9382.967	8964.869	9209.022	
0.184	30	8	34	41	1	-1496	0.0001198265	4.278335	-0.003005091	-0.001025229	-0.0004871362	0	0	0	9336.002	9132.163	9137.603	9312.144	9382.967	8964.869	9209.022	
0.184	30	8	34	41	1	-1496	0.0001198265	4.278335	-0.003005091	-0.001025229	-0.0004871362	0	0	0	9336.002	9132.163	9137.603	9312.144	9382.967	8964.869	9209.022	
0.208	30	8	34	41	1	-1496	0.0001606583	4.280804	-0.002839219	-0.0008997148	-0.0006351278	0	0	0	9336.002	9132.163	9137.603	9312.138	9382.967	8964.87	9209.021	
0.232	30	8	34	41	1	-1496	0.0001880168	4.285622	-0.001084091	0.00025603	-0.0007762904	0	0	0	9336.002	9132.163	9137.602	9312.129	9382.966	8964.871	9209.021	
0.232	30	8	34	41	1	-1496	0.0001880168	4.285622	-0.001084091	0.00025603	-0.0007762904	0	0	0	9336.002	9132.163	9137.602	9312.129	9382.966	8964.871	9209.021	
0.244	30	8	34	41	1	-1496	0.0001893694	4.288177	0.0002232127	0.00103034	-0.000843177	0	0	0	9336.002	9132.163	9137.602	9312.125	9382.966	8964.872	9209.021	
0.268	30	8	34	41	1	-1496	0.0001839114	4.294167	0.002995709	0.003207698	-0.0009698782	0	0	0	9336.001	9132.164	9137.602	9312.118	9382.965	8964.873	9209.021	
0.28	30	8	34	41	1	-1496	0.0001820396	4.297603	0.004128153	0.00396361	-0.001033873	0	0	0	9336.001	9132.164	9137.602	9312.114	9382.965	8964.873	9209.02	
0.28	30	8	34	41	1	-1496	0.0001820396	4.297603	0.004128153	0.00396361	-0.001033873	0	0	0	9336.001	9132.164	9137.602	9312.114	9382.965	8964.873	9209.02	
0.304	30	8	34	41	1	-1496	0.0001678619	4.305358	0.005964765	0.004506335	-0.001162467	0	0	0	9336.001	9132.164	9137.601	9312.106	9382.964	8964.874	9209.02	
0.316	30	8	34	41	1	-1496	0.0001570174	4.309676	0.006510681	0.004190854	-0.001229082	0	0	0	9336	9132.164	9137.601	9312.103	9382.964	8964.875	9209.02	
0.328	30	8	34	41	1	-1496	0.0001499596	4.314287	0.006543162	0.003473298	-0.001299877	0	0	0	9336	9132.164	9137.601	9312.099	9382.963	8964.875	9209.02	
0.332	30	8	34	41	1	-1496	0.0001479649	4.315889	0.006455287	0.003189967	-0.001323453	0	0	0	9336	9132.164	9137.601	9312.098	9382.963	8964.876	9209.02	
0.352	30	8	34	41	1	-1496	0.0001327274	4.324388	0.005579896	0.0014186	-0.001441298	0	0	0	9335.999	9132.165	9137.6	9312.091	9382.962	8964.876	9209.02	
0.372	30	8	34	41	1	-1495.999	0.0001142686	4.333702	0.003907351	0.0002729593	-0.001543973	0	0	0	9335.999	9132.165	9137.6	9312.085	9382.962	8964.877	9209.019	
0.376	30	8	34	41	1	-1495.999	0.0001106604	4.335662	0.003482636	0.0001236416	-0.001562231	0	0	0	9335.999	9132.165	9137.6	9312.084	9382.961	8964.877	9209.019	
0.384	30	8	34	41	1	-1495.999	0.0001064958	4.337655	0.002624439	-0.0001658349	-0.001596584	0	0	0	9335.998	9132.165	9137.6	9312.081	9382.961	8964.878	9209.019	
0.416	30	8	34	41	1	-1495.999	7.43487e-05	4.354767	-0.001450557	-0.0008572627	-0.001711234	0	0	0	9335.997	9132.165	9137.6	9312.072	9382.96	8964.879	9209.019	
0.424	30	8	34	41	1	-1495.999	6.582152e-05	4.361721	-0.002489861	-0.001128866	-0.001736743	0	0	0	9335.997	9132.165	9137.599	9312.069	9382.959	8964.879	9209.019	
0.436	30	8	34	42	1	-1495.999	5.729131e-05	4.366521	-0.003792196	-0.001436664	-0.001772376	0	0	0	9335.997	9132.165	9137.599	9312.065	9382.959	8964.88	9209.019	
0.468	30	8	34	42	1	-1495.999	1.703184e-05	4.389736	-0.005968426	-0.000759023	-0.001858979	0	0	0	9335.995	9132.166	9137.599	9312.055	9382.957	8964.881	9209.018	
0.472	30	8	34	42	1	-1495.999	1.160647e-05	4.392478	-0.00604441	-0.0006803349	-0.001868158	0	0	0	9335.995	9132.166	9137.599	9312.053	9382.957	8964.881	9209.018	
0.476	30	8	34	42	1	-1495.999	6.218978e-06	4.395254	-0.006081804	-0.0004644644	-0.001886297	0	0	0	9335.995	9132.166	9137.599	9312.052	9382.957	8964.881	9209.018	
0.496	30	8	34	42	1	-1495.999	-1.512619e-05	4.409621	-0.005864557	-0.0001723619	-0.001921931	0	0	0	9335.994	9132.166	9137.599	9312.046	9382.956	8964.882	9209.018	
0.52	30	8	34	42	1	-1495.998	-3.393129e-05	4.427939	-0.004588306	0.0002269426	-0.001966368	0	0	0	9335.993	9132.166	9137.598	9312.038	9382.955	8964.883	9209.018	
0.52	30	8	34	42	1	-1495.998	-3.393129e-05	4.427939	-0.004588306	0.0002269426	-0.001966368	0	0	0	9335.993	9132.166	9137.598	9312.038	9382.955	8964.883	9209.018	
0.528	30	8	34	42	1	-1495.998	-3.897837e-05	4.434306	-0.003944925	0.0005300401	-0.00198004	0	0	0	9335.992	9132.166	9137.598	9312.036	9382.954	8964.883	9209.018	
0.552	30	8	34	42	1	-1495.998	-4.120597e-05	4.454187	-0.001907974	0.001236408	-0.002009345	0	0	0	9335.991	9132.166	9137.598	9312.028	9382.953	8964.883	9209.017	
0.568	30	8	34	42	1	-1495.998	-3.313318e-05	4.468091	-0.0005968166	0.0008498017	-0.002024046	0	0	0	9335.99	9132.166	9137.598	9312.023	9382.952	8964.884	9209.017	
0.568	30	8	34	42	1	-1495.998	-3.313318e-05	4.468091	-0.0005968166	0.0008498017	-0.002024046	0	0	0	9335.99	9132.166	9137.598	9312.023	9382.952	8964.884	9209.017	
0.584	30	8	34	42	1	-1495.998	-2.030987e-05	4.482517	0.0006140826	0.0001843733	-0.002040333	0	0	0	9335.99	9132.166	9137.598	9312.018	9382.951	8964.884	9209.017	
0.608	30	8	34	42	1	-1495.998	3.963633e-06	4.505133	0.002101569	0.0003997644	-0.002054848	0	0	0	9335.988	9132.167	9137.598	9312.011	9382.95	8964.885	9209.017	
0.616	30	8	34	42	1	-1495.998	1.004448e-05	4.512929	0.002572676	0.0006471614	-0.002054095	0	0	0	9335.988	9132.167	9137.598	9312.008	9382.95	8964.885	9209.017	
0.616	30	8	34	42	1	-1495.998	1.004448e-05	4.512929	0.002572676	0.0006471614	-0.002054095	0	0	0	9335.988	9132.167	9137.598	9312.008	9382.95	8964.885	9209.017	
0.632	30	8	34	42	1	-1495.997	1.673313e-05	4.528905	0.003490163	0.001022941	-0.002046359	0	0	0	9335.987	9132.167	9137.598	9312.003	9382.949	8964.886	9209.017	
0.652	30	8	34	42	1	-1495.997	1.941547e-05	4.549583	0.004314691	0.0007816863	-0.002035083	0	0	0	9335.986	9132.167	9137.598	9311.997	9382.948	8964.886	9209.016	
0.664	30	8	34	42	1	-1495.997	2.196689e-05	4.562361	0.004448082	0.0003882382	-0.002028227	0	0	0	9335.985	9132.167	9137.598	9311.993	9382.947	8964.886	9209.016	
0.664	30	8	34	42	1	-1495.997	2.196689e-05	4.562361	0.004448082	0.0003882382	-0.002028227	0	0	0	9335.985	9132.167	9137.598	9311.993	9382.947	8964.886	9209.016	
0.688	30	8	34	42	1	-1495.997	3.36908e-05	4.588744	0.003715056	-0.0002631225	-0.00201573	0	0	0	9335.984	9132.167	9137.598	9311.985	9382.945	8964.887	9209.016	
0.712	30	8	34	43	1	-1495.997	7.681846e-05	4.616206	0.001065103	-0.0008818698	-0.002014409	0	0	0	9335.982	9132.167	9137.598	9311.978	9382.944	8964.887	9209.016	
0.712	30	8	34	43	1	-1495.997	7.681846e-05	4.616206	0.001065103	-0.0008818698	-0.002014409	0	0	0	9335.982	9132.167	9137.598	9311.978	9382.944	8964.887	9209.016	
0.716	30	8	34	43	1	-1495.997	8.477755e-05	4.620887	4.579755e-05	-0.0008839349	-0.002016021	0	0	0	9335.982	9132.167	9137.598	9311.977	9382.944	8964.887	9209.016	
0.74	30	8	34	43	1	-1495.996	0.0001319077	4.649575	-0.002459319	3.765386e-05	-0.002018054	0	0	0	9335.98	9132.167	9137.598	9311.969	9382.942	8964.888	9209.016	
0.76	30	8	34	43	1	-1495.996	0.0001518643	4.674267	-0.003913616	0.001590574	-0.002022985	0	0	0	9335.979	9132.167	9137.598	9311.963	9382.941	8964.888	9209.015	
0.76	30	8	34	43	1	-1495.996	0.0001518643	4.674267	-0.003913616	0.001590574	-0.002022985	0	0	0	9335.979	9132.167	9137.598	9311.963	9382.941	8964.888	9209.015	
0.78	30	8	34	43	1	-1495.996	0.0001657604	4.694523	-0.004696447	0.002891157	-0.002027006	0	0	0	9335.978	9132.167	9137.598	9311.956	9382.94	8964.888	9209.015	
