time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	30	8	31	9	0	0	0	0	0	0	0	0	0	0	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	
0	30	8	31	10	1	-1500	-1.796834e-07	4.2755	0	0	0	0	0	0	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	8660.254	
0.028	30	8	31	10	1	-1500	-1.796834e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.198	9382.969	8964.86	9209.024	
0.04	30	8	31	10	1	-1500	-1.796834e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.194	9382.969	8964.86	9209.024	
0.04	30	8	31	10	1	-1500	-1.796834e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.194	9382.969	8964.86	9209.024	
0.044	30	8	31	10	1	-1500	-1.796834e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.192	9382.969	8964.861	9209.023	
0.044	30	8	31	10	1	-1500	-1.796834e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.192	9382.969	8964.861	9209.023	
0.052	30	8	31	10	1	-1500	-1.796834e-07	4.2755	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.19	9382.969	8964.861	9209.023	
0.068	30	8	31	10	1	-1500	2.979361e-06	4.275497	0	0	0	0	0	0	9336.001	9132.16	9137.606	9312.185	9382.969	8964.862	9209.023	
0.088	30	8	31	10	1	-1500	5.195729e-06	4.275505	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.179	9382.969	8964.863	9209.023	
0.088	30	8	31	10	1	-1500	5.195729e-06	4.275505	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.179	9382.969	8964.863	9209.023	
0.092	30	8	31	10	1	-1500	2.10743e-06	4.275506	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.177	9382.969	8964.863	9209.023	
0.092	30	8	31	10	1	-1500	2.10743e-06	4.275506	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.177	9382.969	8964.863	9209.023	
0.092	30	8	31	10	1	-1500	2.10743e-06	4.275506	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.177	9382.969	8964.863	9209.023	
0.108	30	8	31	10	1	-1500	-2.345011e-05	4.27552	0	0	0	0	0	0	9336.002	9132.161	9137.605	9312.172	9382.969	8964.864	9209.023	
0.128	30	8	31	10	1	-1500	-5.882517e-05	4.275542	0.0007974016	0.0009458804	0.0002292988	0	0	0	9336.002	9132.161	9137.604	9312.166	9382.968	8964.865	9209.022	
0.136	30	8	31	10	1	-1500	-8.617039e-05	4.27556	0.0009786922	0.001061873	0.0002718217	0	0	0	9336.002	9132.162	9137.604	9312.163	9382.968	8964.866	9209.022	
0.14	30	8	31	10	1	-1500	-9.482258e-05	4.275574	0.001047425	0.001075672	0.0002926318	0	0	0	9336.002	9132.162	9137.604	9312.162	9382.968	8964.866	9209.022	
0.144	30	8	31	10	1	-1500	-9.482258e-05	4.275574	0.001104009	0.001086769	0.0003131789	0	0	0	9336.002	9132.162	9137.604	9312.162	9382.968	8964.866	9209.022	
0.168	30	8	31	10	1	-1500	-0.0001561449	4.276272	0.001354984	0.0006919594	0.0004278552	0	0	0	9336.002	9132.162	9137.604	9312.153	9382.968	8964.867	9209.022	
0.184	30	8	31	10	1	-1500	-0.000192074	4.277302	0.001376194	0.0002611675	0.0004944597	0	0	0	9336.002	9132.162	9137.603	9312.148	9382.967	8964.868	9209.022	
0.188	30	8	31	11	1	-1500	-0.0002017479	4.277638	0.001383016	0.0002228479	0.0005100615	0	0	0	9336.002	9132.162	9137.603	9312.147	9382.967	8964.868	9209.022	
0.188	30	8	31	11	1	-1500	-0.0002017479	4.277638	0.001383016	0.0002228479	0.0005100615	0	0	0	9336.002	9132.162	9137.603	9312.147	9382.967	8964.868	9209.022	
0.212	30	8	31	11	1	-1500	-0.0002615241	4.280326	0.001294422	0.001397748	0.0006021628	0	0	0	9336.002	9132.163	9137.603	9312.139	9382.967	8964.87	9209.021	
0.232	30	8	31	11	1	-1500	-0.0003027457	4.282766	0.001045423	0.002494528	0.0006752293	0	0	0	9336.002	9132.163	9137.603	9312.133	9382.966	8964.87	9209.021	
0.232	30	8	31	11	1	-1500	-0.0003130326	4.283457	0.001045423	0.002494528	0.0006752293	0	0	0	9336.002	9132.163	9137.603	9312.133	9382.966	8964.87	9209.021	
0.232	30	8	31	11	1	-1500	-0.0003130326	4.283457	0.001045423	0.002494528	0.0006752293	0	0	0	9336.002	9132.163	9137.603	9312.133	9382.966	8964.87	9209.021	
0.236	30	8	31	11	1	-1500	-0.0003230459	4.284181	0.0009633964	0.002552807	0.0006889729	0	0	0	9336.002	9132.163	9137.602	9312.132	9382.966	8964.871	9209.021	
0.24	30	8	31	11	1	-1500	-0.0003331734	4.284938	0.000878978	0.002586312	0.0007021297	0	0	0	9336.002	9132.163	9137.602	9312.13	9382.966	8964.871	9209.021	
0.26	30	8	31	11	1	-1500	-0.0003860042	4.289212	0.0004559214	0.002461089	0.0007653215	0	0	0	9336.002	9132.163	9137.602	9312.124	9382.966	8964.872	9209.021	
0.28	30	8	31	11	1	-1500	-0.0004156389	4.29322	-0.0006384687	0.001423192	0.0008213002	0	0	0	9336.001	9132.164	9137.602	9312.118	9382.965	8964.873	9209.021	
0.28	30	8	31	11	1	-1500	-0.0004213258	4.294304	-0.0006384687	0.001423192	0.0008213002	0	0	0	9336.001	9132.164	9137.602	9312.118	9382.965	8964.873	9209.021	
0.284	30	8	31	11	1	-1500	-0.0004268013	4.29542	-0.000906636	0.00117171	0.0008312411	0	0	0	9336.001	9132.164	9137.602	9312.116	9382.965	8964.873	9209.02	
0.284	30	8	31	11	1	-1500	-0.0004268013	4.29542	-0.000906636	0.00117171	0.0008312411	0	0	0	9336.001	9132.164	9137.602	9312.116	9382.965	8964.873	9209.02	
0.304	30	8	31	11	1	-1500	-0.0004473172	4.301491	-0.002358853	0.00053429	0.0008766878	0	0	0	9336.001	9132.164	9137.601	9312.11	9382.964	8964.874	9209.02	
0.324	30	8	31	11	1	-1499.999	-0.0004664724	4.308377	-0.003477487	0.001014218	0.0009128894	0	0	0	9336	9132.164	9137.601	9312.104	9382.964	8964.875	9209.02	
0.328	30	8	31	11	1	-1499.999	-0.0004709638	4.309852	-0.003615127	0.001162809	0.0009187839	0	0	0	9336	9132.164	9137.601	9312.103	9382.964	8964.875	9209.02	
0.332	30	8	31	11	1	-1499.999	-0.0004757936	4.31136	-0.003717355	0.001283046	0.0009248945	0	0	0	9336	9132.164	9137.601	9312.101	9382.963	8964.875	9209.02	
0.332	30	8	31	11	1	-1499.999	-0.0004757936	4.31136	-0.003717355	0.001283046	0.0009248945	0	0	0	9336	9132.164	9137.601	9312.101	9382.963	8964.875	9209.02	
0.352	30	8	31	11	1	-1499.999	-0.0005092288	4.319388	-0.003538928	0.001247799	0.000954233	0	0	0	9336	9132.164	9137.601	9312.095	9382.963	8964.876	9209.02	
