time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	22	8	41	55	0	0	0	0	0	0	0	0	0	0	9335.827	9132.163	9137.627	9314.829	9382.847	8964.828	9209.055	
0	22	8	41	55	1	-1502	1.004785e-07	4.2755	0	0	0	0	0	0	9335.828	9132.163	9137.628	9314.821	9382.848	8964.827	9209.055	
0.02	22	8	41	55	1	-1502	1.004785e-07	4.2755	0	0	0	0	0	0	9335.829	9132.162	9137.628	9314.814	9382.848	8964.827	9209.055	
0.024	22	8	41	55	1	-1502	1.004785e-07	4.2755	0	0	0	0	0	0	9335.829	9132.162	9137.628	9314.812	9382.848	8964.827	9209.055	
0.044	22	8	41	55	1	-1502	1.004785e-07	4.2755	0	0	0	0	0	0	9335.83	9132.161	9137.629	9314.805	9382.849	8964.826	9209.055	
0.068	22	8	41	55	1	-1502	-7.510906e-07	4.2755	0	0	0	0	0	0	9335.831	9132.16	9137.63	9314.796	9382.85	8964.825	9209.056	
0.072	22	8	41	55	1	-1502	-1.199798e-06	4.275501	0	0	0	0	0	0	9335.831	9132.16	9137.63	9314.794	9382.85	8964.825	9209.056	
0.088	22	8	41	55	1	-1502	-2.24069e-07	4.2755	0	0	0	0	0	0	9335.832	9132.159	9137.631	9314.788	9382.851	8964.824	9209.056	
0.108	22	8	41	55	1	-1502	1.509192e-05	4.27551	0	0	0	0	0	0	9335.832	9132.159	9137.632	9314.781	9382.851	8964.824	9209.056	
0.12	22	8	41	55	1	-1502	3.2998e-05	4.275522	0	0	0	0	0	0	9335.833	9132.158	9137.632	9314.776	9382.852	8964.823	9209.056	
0.128	22	8	41	55	1	-1502	4.53099e-05	4.27553	-0.0004892775	0.0007638131	0.0001978106	0	0	0	9335.833	9132.158	9137.633	9314.773	9382.852	8964.823	9209.056	
0.152	22	8	41	56	1	-1502	7.47101e-05	4.275622	-0.000517616	0.0006137829	0.0003373033	0	0	0	9335.834	9132.157	9137.634	9314.764	9382.853	8964.822	9209.056	
0.168	22	8	41	56	1	-1502	9.245334e-05	4.276031	-0.0004174805	0.0006552589	0.0004279201	0	0	0	9335.835	9132.156	9137.634	9314.758	9382.854	8964.822	9209.056	
0.172	22	8	41	56	1	-1502	9.692088e-05	4.276199	-0.000387453	0.0006897148	0.0004504203	0	0	0	9335.835	9132.156	9137.635	9314.756	9382.854	8964.822	9209.056	
0.204	22	8	41	56	1	-1502	0.0001323309	4.27859	-7.868648e-05	0.001270195	0.0006256242	0	0	0	9335.837	9132.155	9137.636	9314.744	9382.855	8964.821	9209.056	
0.216	22	8	41	56	1	-1502	0.0001450714	4.279976	6.518797e-05	0.001618001	0.0006901729	0	0	0	9335.838	9132.154	9137.636	9314.74	9382.856	8964.821	9209.056	
0.22	22	8	41	56	1	-1502	0.0001492728	4.280497	0.0001135224	0.001752193	0.0007116966	0	0	0	9335.838	9132.154	9137.637	9314.738	9382.856	8964.82	9209.056	
0.248	22	8	41	56	1	-1502	0.0001769355	4.284989	0.0004633109	0.002960659	0.0008619967	0	0	0	9335.839	9132.153	9137.638	9314.728	9382.857	8964.82	9209.055	
0.264	22	8	41	56	1	-1502	0.000190687	4.288216	0.0006673499	0.003869066	0.0009481582	0	0	0	9335.84	9132.152	9137.638	9314.722	9382.858	8964.819	9209.055	
