time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	suav_1_x	suav_1_y	suav_1_z	suav_2_x	suav_2_y	suav_2_z	suav_3_x	suav_3_y	suav_3_z	suav_4_x	suav_4_y	suav_4_z	suav_5_x	suav_5_y	suav_5_z	suav_6_x	suav_6_y	suav_6_z	suav_7_x	suav_7_y	suav_7_z	suav_8_x	suav_8_y	suav_8_z	suav_9_x	suav_9_y	suav_9_z	suav_10_x	suav_10_y	suav_10_z	
31.568	22	8	41	54	-1075.348	-25.12262	0.4161643	-599.9918	-200.0057	0.3431494	-699.9989	-99.99935	0.3902264	-1184.533	150.0051	0.3426236	-1000.1	-200.0321	0.3786829	-600.0958	99.99399	0.285811	-900.0012	-0.002220446	0.3376925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.576	22	8	41	54	-1075.348	-25.12269	0.4159153	-599.9918	-200.0057	0.3438372	-699.9989	-99.99935	0.3894289	-1184.526	150.0051	0.3432269	-1000.1	-200.0321	0.3786259	-600.0958	99.99399	0.2866348	-900.0012	-0.002217697	0.3373936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.576	22	8	41	54	-1075.348	-25.12269	0.4159153	-599.9918	-200.0057	0.3438372	-699.9989	-99.99935	0.3894289	-1184.526	150.0051	0.3432269	-1000.1	-200.0321	0.3786259	-600.0958	99.99399	0.2866348	-900.0012	-0.002217697	0.3373936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.584	22	8	41	54	-1075.348	-25.12274	0.4157365	-599.9918	-200.0057	0.3443012	-699.9989	-99.99935	0.3888946	-1184.522	150.0051	0.3436331	-1000.1	-200.0321	0.3785717	-600.0959	99.99399	0.2871823	-900.0012	-0.00221587	0.3371996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.608	22	8	41	54	-1075.348	-25.12289	0.4151403	-599.9918	-200.0057	0.345717	-699.9989	-99.99935	0.3872788	-1184.51	150.0051	0.3448711	-1000.1	-200.0322	0.3783316	-600.0959	99.99399	0.2888159	-900.0012	-0.002210451	0.3366432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.624	22	8	41	54	-1075.348	-25.12299	0.4146938	-599.9918	-200.0057	0.3466792	-699.9989	-99.99934	0.3861908	-1184.502	150.0051	0.3457125	-1000.1	-200.0322	0.3781077	-600.096	99.994	0.2898973	-900.0012	-0.002206909	0.3362935	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.624	22	8	41	54	-1075.348	-25.12299	0.4146938	-599.9918	-200.0057	0.3466792	-699.9989	-99.99934	0.3861908	-1184.502	150.0051	0.3457125	-1000.1	-200.0322	0.3781077	-600.096	99.994	0.2898973	-900.0012	-0.002206909	0.3362935	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.632	22	8	41	54	-1075.349	-25.12304	0.4144561	-599.9918	-200.0057	0.3471653	-699.9989	-99.99934	0.3856436	-1184.498	150.0051	0.3461381	-1000.1	-200.0323	0.3779768	-600.096	99.994	0.2904356	-900.0012	-0.002205161	0.3361251	-1492	9.983451e-08	4.2755	-1494	1.004785e-07	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.656	22	8	41	54	-1075.349	-25.12319	0.4136869	-599.9918	-200.0057	0.3486417	-699.9988	-99.99934	0.3839889	-1184.485	150.0051	0.3474341	-1000.101	-200.0323	0.37751	-600.0961	99.994	0.2920405	-900.0012	-0.002200003	0.3356452	-1492	9.983451e-08	4.2755	-1494	1.004785e-07	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.672	22	8	41	55	-1075.349	-25.12328	0.4131282	-599.9918	-200.0057	0.3496396	-699.9988	-99.99934	0.3828749	-1184.477	150.0051	0.3483145	-1000.101	-200.0324	0.3771384	-600.0961	99.994	0.293102	-900.0012	-0.002196611	0.3353465	-1492	9.983451e-08	4.2755	-1494	1.004785e-07	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
