time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	22	8	41	54	0	0	0	0	0	0	0	0	0	0	9335.822	9132.169	9137.621	9314.888	9382.844	8964.834	9209.054	
0	22	8	41	54	1	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	9335.822	9132.168	9137.621	9314.884	9382.844	8964.833	9209.054	
0	22	8	41	54	1	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	9335.822	9132.168	9137.621	9314.884	9382.844	8964.833	9209.054	
0.012	22	8	41	54	1	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	9335.822	9132.168	9137.621	9314.879	9382.844	8964.833	9209.054	
0.036	22	8	41	55	1	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	9335.823	9132.167	9137.622	9314.87	9382.844	8964.832	9209.054	
0.048	22	8	41	55	1	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	9335.823	9132.167	9137.623	9314.866	9382.845	8964.832	9209.054	
0.052	22	8	41	55	1	-1492	9.983451e-08	4.2755	0	0	0	0	0	0	9335.824	9132.167	9137.623	9314.864	9382.845	8964.831	9209.054	
0.08	22	8	41	55	1	-1492	-1.310613e-06	4.275501	0	0	0	0	0	0	9335.825	9132.166	9137.624	9314.855	9382.845	8964.831	9209.055	
0.096	22	8	41	55	1	-1492	-1.013325e-05	4.275507	0	0	0	0	0	0	9335.825	9132.165	9137.625	9314.848	9382.846	8964.83	9209.055	
0.096	22	8	41	55	1	-1492	-1.013325e-05	4.275507	0	0	0	0	0	0	9335.825	9132.165	9137.625	9314.848	9382.846	8964.83	9209.055	
0.116	22	8	41	55	1	-1492	-3.81462e-05	4.275525	0	0	0	0	0	0	9335.826	9132.164	9137.625	9314.84	9382.846	8964.829	9209.055	
0.144	22	8	41	55	1	-1492	-7.85366e-05	4.275554	0.0007945269	0.0005216228	-0.0002626862	0	0	0	9335.827	9132.164	9137.626	9314.832	9382.847	8964.828	9209.055	
0.144	22	8	41	55	1	-1492	-8.482691e-05	4.275559	0.0007945269	0.0005216228	-0.0002626862	0	0	0	9335.827	9132.163	9137.627	9314.83	9382.847	8964.828	9209.055	
