time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	20	17	28	57	0	0	0	0	0	0	0	0	0	0	9332.612	9131.829	9139.69	8846.735	9452.184	8979.507	9208.236	
0	20	17	28	57	1	-1500	1.953036e-06	4.234997	0	0	0	0	0	0	9332.6	9131.828	9139.692	8846.72	9452.19	8979.492	9208.237	
0.044	20	17	28	57	1	-1500	1.953036e-06	4.234997	0	0	0	0	0	0	9332.588	9131.827	9139.694	8846.704	9452.197	8979.477	9208.239	
0.092	20	17	28	57	1	-1500	1.147793e-06	4.235079	0	0	0	0	0	0	9332.575	9131.826	9139.696	8846.688	9452.204	8979.46	9208.24	
0.14	20	17	28	57	1	-1500	3.86804e-06	4.235336	0	0	0	0	0	0	9332.562	9131.825	9139.698	8846.671	9452.211	8979.444	9208.242	
0.184	20	17	28	57	1	-1500	-1.821684e-05	4.235639	-0.0001586683	0.001805884	0.0001049005	0	0	0	9332.55	9131.824	9139.7	8846.656	9452.217	8979.429	9208.243	
0.232	20	17	28	57	1	-1499.999	-5.300183e-05	4.236852	0.0003436535	-0.0005819492	0.0001950239	0	0	0	9332.537	9131.823	9139.703	8846.64	9452.224	8979.412	9208.245	
0.284	20	17	28	57	1	-1499.999	-0.000104368	4.242157	0.00114083	0.00179858	0.0002680604	0	0	0	9332.523	9131.821	9139.705	8846.622	9452.231	8979.394	9208.247	
0.328	20	17	28	57	1	-1499.999	-0.0001947036	4.252209	0.002417772	0.004975842	0.0003449646	0	0	0	9332.51	9131.82	9139.707	8846.608	9452.237	8979.379	9208.249	
0.38	20	17	28	57	1	-1499.998	-0.000354748	4.267015	0.002375353	0.004506673	0.0003998272	0	0	0	9332.496	9131.818	9139.71	8846.59	9452.243	8979.361	9208.25	
0.424	20	17	28	57	1	-1499.997	-0.0005858781	4.286567	0.0006028379	0.001102379	0.0004564802	0	0	0	9332.483	9131.816	9139.712	8846.576	9452.249	8979.347	9208.252	
0.468	20	17	28	57	1	-1499.996	-0.0007998917	4.3065	-0.0010408	-0.0004667042	0.0005050107	0	0	0	9332.471	9131.814	9139.714	8846.561	9452.254	8979.333	9208.254	
0.512	20	17	28	57	1	-1499.995	-0.001021373	4.332234	-0.00157002	3.549064e-06	0.000546252	0	0	0	9332.458	9131.813	9139.716	8846.548	9452.259	8979.318	9208.255	
0.556	20	17	28	57	1	-1499.994	-0.001230416	4.364869	-0.001142673	0.0003491206	0.0005795433	0	0	0	9332.446	9131.81	9139.719	8846.532	9452.264	8979.302	9208.257	
0.6	20	17	28	57	1	-1499.992	-0.001399829	4.398947	-0.0006893301	-0.002501498	0.000583471	0	0	0	9332.433	9131.808	9139.721	8846.518	9452.269	8979.287	9208.259	
0.644	20	17	28	58	1	-1499.991	-0.001560436	4.437019	-0.0001587358	-0.0008088164	0.0005691868	0	0	0	9332.42	9131.806	9139.723	8846.504	9452.274	8979.272	9208.26	
0.692	20	17	28	58	1	-1499.99	-0.00173948	4.483138	0.000511351	-0.001669147	0.0005644857	0	0	0	9332.406	9131.804	9139.726	8846.489	9452.28	8979.256	9208.262	
0.736	20	17	28	58	1	-1499.988	-0.001902645	4.525207	-0.0002253165	-0.002626928	0.000571219	0	0	0	9332.392	9131.802	9139.728	8846.474	9452.285	8979.241	9208.264	
0.776	20	17	28	58	1	-1499.987	-0.00208396	4.575309	-0.001739188	-0.001558457	0.000581359	0	0	0	9332.38	9131.8	9139.73	8846.462	9452.289	8979.228	9208.265	
0.816	20	17	28	58	1	-1499.986	-0.002208958	4.619309	-0.003068839	-0.002740865	0.0005946263	0	0	0	9332.368	9131.798	9139.732	8846.449	9452.293	8979.215	9208.267	
0.856	20	17	28	58	1	-1499.984	-0.002299219	4.671341	-0.003292743	-0.001956846	0.0005983421	0	0	0	9332.356	9131.795	9139.735	8846.436	9452.298	8979.201	9208.268	
0.904	20	17	28	58	1	-1499.982	-0.002332041	4.743925	-0.002219115	-0.0005845594	0.0005911556	0	0	0	9332.341	9131.793	9139.737	8846.421	9452.303	8979.185	9208.27	
0.956	20	17	28	58	1	-1499.981	-0.002302919	4.815876	-0.001114255	-0.003225945	0.0005885736	0	0	0	9332.324	9131.79	9139.74	8846.405	9452.308	8979.168	9208.271	
1.004	20	17	28	58	1	-1499.979	-0.002242086	4.899215	-0.001037078	-0.003291936	0.0005837764	0	0	0	9332.309	9131.788	9139.742	8846.39	9452.313	8979.152	9208.273	
1.048	20	17	28	58	1	-1499.977	-0.002170379	4.974095	-0.001718288	-0.002314742	0.0005659387	0	0	0	9332.295	9131.786	9139.744	8846.376	9452.318	8979.137	9208.274	
1.096	20	17	28	58	1	-1499.975	-0.002067901	5.052984	-0.001147515	-0.002336417	0.0005722275	0	0	0	9332.279	9131.783	9139.747	8846.362	9452.323	8979.121	9208.275	
