time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	20	13	6	54	0	0	0	0	0	0	0	0	0	0	9350.739	9131.976	9140.263	9111.116	9481.242	9011.148	9208.718	
0	20	13	6	54	1	-1500	-4.536082e-06	4.234999	0	0	0	0	0	0	9350.739	9131.976	9140.262	9111.102	9481.236	9011.13	9208.717	
0.048	20	13	6	55	1	-1500	-4.536082e-06	4.234999	0	0	0	0	0	0	9350.739	9131.976	9140.261	9111.085	9481.228	9011.108	9208.717	
0.096	20	13	6	55	1	-1500	-6.495401e-06	4.235001	0	0	0	0	0	0	9350.739	9131.977	9140.26	9111.068	9481.22	9011.087	9208.716	
0.132	20	13	6	55	1	-1500	1.755957e-06	4.235037	-0.0001686993	6.392734e-06	2.030801e-06	0	0	0	9350.739	9131.977	9140.259	9111.055	9481.214	9011.071	9208.716	
0.172	20	13	6	55	1	-1500	-2.433558e-06	4.235597	0.0003818491	0.001202009	-4.479957e-05	0	0	0	9350.739	9131.977	9140.258	9111.041	9481.207	9011.054	9208.715	
0.216	20	13	6	55	1	-1500	-2.157733e-05	4.238827	0.001327123	0.002466483	-9.728895e-05	0	0	0	9350.739	9131.977	9140.258	9111.027	9481.2	9011.036	9208.715	
0.26	20	13	6	55	1	-1499.999	-8.07396e-05	4.247018	0.00189564	0.001194149	-0.0001319193	0	0	0	9350.738	9131.978	9140.257	9111.011	9481.191	9011.015	9208.714	
0.308	20	13	6	55	1	-1499.999	-0.0001992459	4.259974	0.002798819	0.003025665	-0.0001697512	0	0	0	9350.738	9131.978	9140.255	9110.995	9481.181	9010.995	9208.713	
0.348	20	13	6	55	1	-1499.998	-0.000357591	4.274403	0.002638447	0.003660351	-0.0001779834	0	0	0	9350.737	9131.979	9140.255	9110.981	9481.174	9010.977	9208.712	
0.392	20	13	6	55	1	-1499.998	-0.0005930485	4.294107	0.00226598	0.0004014657	-0.0001780384	0	0	0	9350.737	9131.979	9140.254	9110.967	9481.165	9010.959	9208.712	
0.436	20	13	6	55	1	-1499.997	-0.0008835825	4.31784	0.001233939	-0.0008682707	-0.0001683432	0	0	0	9350.736	9131.98	9140.253	9110.952	9481.156	9010.94	9208.711	
0.48	20	13	6	55	1	-1499.996	-0.001202131	4.345604	-0.0002628295	-0.0007584593	-0.0001454858	0	0	0	9350.735	9131.98	9140.252	9110.938	9481.147	9010.922	9208.71	
0.528	20	13	6	55	1	-1499.995	-0.001517791	4.377386	-0.001090881	-0.004013884	-0.0001242861	0	0	0	9350.734	9131.981	9140.251	9110.922	9481.137	9010.902	9208.709	
0.564	20	13	6	55	1	-1499.994	-0.001785939	4.409768	-0.0009593715	-0.002997313	-9.28609e-05	0	0	0	9350.733	9131.982	9140.25	9110.911	9481.13	9010.887	9208.709	
0.612	20	13	6	55	1	-1499.993	-0.002061707	4.449209	-0.0002542698	0.0006778259	-7.155368e-05	0	0	0	9350.732	9131.982	9140.249	9110.897	9481.12	9010.869	9208.708	
0.652	20	13	6	55	1	-1499.992	-0.002331841	4.492666	0.0002968495	-0.001908396	-7.645191e-05	0	0	0	9350.731	9131.983	9140.248	9110.883	9481.111	9010.851	9208.707	
0.692	20	13	6	55	1	-1499.991	-0.002583682	4.535657	0.001265177	-0.003222707	-0.0001041397	0	0	0	9350.73	9131.984	9140.247	9110.87	9481.102	9010.835	9208.707	
0.736	20	13	6	55	1	-1499.99	-0.00285883	4.581994	0.001876643	-0.001165669	-0.0001307495	0	0	0	9350.729	9131.985	9140.246	9110.857	9481.092	9010.817	9208.706	
0.772	20	13	6	55	1	-1499.989	-0.00316958	4.631653	0.001922385	-0.002056438	-0.0001600096	0	0	0	9350.727	9131.985	9140.245	9110.846	9481.084	9010.803	9208.705	
0.82	20	13	6	55	1	-1499.988	-0.003591625	4.695634	0.001584678	-0.00448199	-0.0002028142	0	0	0	9350.726	9131.986	9140.244	9110.831	9481.074	9010.784	9208.704	
0.864	20	13	6	55	1	-1499.987	-0.004014172	4.758458	-1.844571e-05	-0.00470223	-0.0002379118	0	0	0	9350.724	9131.987	9140.243	9110.818	9481.064	9010.767	9208.704	
