time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
1.284	20	13	35	39	1	-1499.974	-0.01434614	5.25025	-0.006764251	-0.0004034538	-4.257469e-05	0	0	0	9341.889	9131.593	9146.731	8600.463	9425.298	8968.258	9207.846	
1.332	20	13	35	40	1	-1499.972	-0.01506755	5.351095	-0.007845532	-0.003335509	1.983448e-05	0	0	0	9341.903	9131.592	9146.733	8600.45	9425.29	8968.257	9207.847	
1.384	20	13	35	40	1	-1499.97	-0.01557105	5.456741	-0.008002307	-0.002594611	4.840951e-05	0	0	0	9341.918	9131.59	9146.735	8600.436	9425.282	8968.255	9207.847	
1.432	20	13	35	40	1	-1499.968	-0.01586578	5.576566	-0.007727314	0.0008101735	5.446882e-05	0	0	0	9341.931	9131.589	9146.737	8600.423	9425.275	8968.253	9207.847	
1.476	20	13	35	40	1	-1499.966	-0.01592148	5.672522	-0.007608867	-0.002665519	0.0001106517	0	0	0	9341.944	9131.588	9146.739	8600.411	9425.268	8968.251	9207.847	
1.516	20	13	35	40	1	-1499.964	-0.01581461	5.78189	-0.007819537	-0.003439492	0.000139902	0	0	0	9341.956	9131.587	9146.74	8600.4	9425.262	8968.25	9207.847	
1.564	20	13	35	40	1	-1499.962	-0.01549103	5.90575	-0.00847614	-0.003875724	0.000171061	0	0	0	9341.97	9131.586	9146.742	8600.387	9425.255	8968.248	9207.846	
1.612	20	13	35	40	1	-1499.96	-0.01494043	6.034073	-0.008532211	-0.004152273	0.0001774589	0	0	0	9341.984	9131.585	9146.743	8600.374	9425.249	8968.246	9207.846	
1.66	20	13	35	40	1	-1499.958	-0.01416568	6.166416	-0.00841228	-0.003476948	0.0001639977	0	0	0	9341.999	9131.583	9146.744	8600.361	9425.242	8968.244	9207.845	
1.704	20	13	35	40	1	-1499.956	-0.0132675	6.290907	-0.006560486	-0.007950066	0.0001862108	0	0	0	9342.012	9131.582	9146.745	8600.349	9425.236	8968.243	9207.844	
1.744	20	13	35	40	1	-1499.955	-0.0124248	6.394793	-0.004695577	-0.007123476	0.0001773108	0	0	0	9342.023	9131.581	9146.746	8600.339	9425.231	8968.242	9207.844	
1.792	20	13	35	40	1	-1499.953	-0.01120301	6.535853	-0.003203219	-0.005984579	0.0001685218	0	0	0	9342.038	9131.58	9146.747	8600.326	9425.225	8968.24	9207.843	
1.836	20	13	35	40	1	-1499.951	-0.00992559	6.679447	0.0005957981	-0.003698941	0.0001711927	0	0	0	9342.053	9131.578	9146.748	8600.313	9425.219	8968.239	9207.842	
1.88	20	13	35	40	1	-1499.95	-0.008777489	6.813013	0.00329692	-0.004198499	0.0001723204	0	0	0	9342.067	9131.577	9146.748	8600.301	9425.213	8968.237	9207.841	
1.928	20	13	35	40	1	-1499.948	-0.007714792	6.948174	0.005843083	-0.005812303	0.0002012612	0	0	0	9342.082	9131.576	9146.749	8600.288	9425.206	8968.236	9207.84	
1.972	20	13	35	40	1	-1499.946	-0.006708901	7.097214	0.007418607	-0.0048566	0.0002468689	0	0	0	9342.097	9131.574	9146.749	8600.276	9425.201	8968.235	9207.838	
2.016	20	13	35	40	1	-1499.945	-0.005955696	7.235079	0.00591418	-0.003865892	0.0002826387	0	0	0	9342.111	9131.573	9146.75	8600.264	9425.195	8968.234	9207.837	
2.056	20	13	35	40	1	-1499.944	-0.005391152	7.361297	0.003892029	-0.004195161	0.0002998838	0	0	0	9342.124	9131.572	9146.75	8600.253	9425.189	8968.233	9207.836	
2.1	20	13	35	40	1	-1499.942	-0.004859644	7.500958	0.002317487	-0.006146878	0.0002989947	0	0	0	9342.139	9131.571	9146.75	8600.241	9425.183	8968.232	9207.834	
2.14	20	13	35	40	1	-1499.941	-0.004428585	7.628556	0.001093421	-0.0051068	0.0003121206	0	0	0	9342.152	9131.57	9146.75	8600.23	9425.177	8968.231	9207.833	
2.188	20	13	35	40	1	-1499.939	-0.00394819	7.782274	0.001387747	-0.007291373	0.0003347664	0	0	0	9342.168	9131.568	9146.75	8600.217	9425.171	8968.23	9207.831	
2.228	20	13	35	41	1	-1499.938	-0.003579491	7.91079	0.002426147	-0.006304627	0.0003426288	0	0	0	9342.182	9131.567	9146.75	8600.206	9425.165	8968.23	9207.83	
2.272	20	13	35	41	1	-1499.937	-0.003228143	8.052484	0.00326129	-0.007086001	0.000358365	0	0	0	9342.197	9131.566	9146.749	8600.194	9425.158	8968.229	9207.828	
2.32	20	13	35	41	1	-1499.935	-0.002946983	8.194357	0.002862866	-0.006187933	0.0004009593	0	0	0	9342.213	9131.565	9146.749	8600.181	9425.151	8968.228	9207.826	
2.364	20	13	35	41	1	-1499.934	-0.002715836	8.349168	0.003496464	-0.005658722	0.0004245161	0	0	0	9342.228	9131.564	9146.748	8600.169	9425.144	8968.228	9207.824	
2.412	20	13	35	41	1	-1499.933	-0.002573006	8.503887	0.00375196	-0.005657413	0.0004090592	0	0	0	9342.245	9131.562	9146.747	8600.156	9425.136	8968.228	9207.822	
2.46	20	13	35	41	1	-1499.932	-0.002522955	8.645533	0.00267377	-0.003516801	0.0003942665	0	0	0	9342.262	9131.561	9146.746	8600.143	9425.128	8968.228	9207.82	
2.504	20	13	35	41	1	-1499.931	-0.002529567	8.786924	0.001543438	-0.003583753	0.0003753353	0	0	0	9342.277	9131.56	9146.745	8600.13	9425.12	8968.228	9207.818	
2.54	20	13	35	41	1	-1499.93	-0.00256281	8.902367	0.001184818	-0.005795837	0.0003482928	0	0	0	9342.289	9131.56	9146.744	8600.12	9425.114	8968.228	9207.816	
2.584	20	13	35	41	1	-1499.929	-0.002636415	9.055869	0.0009909982	-0.007383752	0.0003411984	0	0	0	9342.304	9131.559	9146.743	8600.108	9425.106	8968.228	9207.815	
2.628	20	13	35	41	1	-1499.928	-0.002729646	9.196139	0.0009167555	-0.00568295	0.0003430131	0	0	0	9342.319	9131.558	9146.741	8600.096	9425.097	8968.228	9207.813	
2.656	20	13	35	41	1	-1499.927	-0.002801103	9.285147	0.0005387643	-0.006159615	0.0003372904	0	0	0	9342.329	9131.557	9146.74	8600.088	9425.092	8968.229	9207.811	
2.7	20	13	35	41	1	-1499.926	-0.002923832	9.424537	-0.0005994446	-0.007352958	0.0003262403	0	0	0	9342.344	9131.557	9146.739	8600.075	9425.083	8968.229	9207.809	
2.744	20	13	35	41	1	-1499.925	-0.003040404	9.563269	-0.001523612	-0.007372038	0.000341582	0	0	0	9342.359	9131.556	9146.737	8600.063	9425.074	8968.23	9207.807	
2.796	20	13	35	41	1	-1499.925	-0.003147207	9.726376	-0.001799821	-0.005326339	0.0003384485	0	0	0	9342.376	9131.555	9146.735	8600.048	9425.063	8968.231	9207.805	
2.844	20	13	35	41	1	-1499.924	-0.003211044	9.876072	-0.001654458	-0.008281967	0.0003715582	0	0	0	9342.392	9131.555	9146.733	8600.035	9425.053	8968.232	9207.803	
2.892	20	13	35	41	1	-1499.923	-0.003244108	10.02487	-0.001529219	-0.008084355	0.0003951518	0	0	0	9342.408	9131.554	9146.731	8600.021	9425.042	8968.234	9207.801	
2.94	20	13	35	41	1	-1499.922	-0.00324835	10.17279	-0.001544453	-0.00916642	0.0004045537	0	0	0	9342.423	9131.554	9146.729	8600.007	9425.032	8968.235	9207.799	
2.988	20	13	35	41	1	-1499.922	-0.003223689	10.31978	-0.002012472	-0.009125257	0.0004306888	0	0	0	9342.439	9131.554	9146.727	8599.993	9425.021	8968.237	9207.797	
3.036	20	13	35	41	1	-1499.922	-0.003156671	10.46576	-0.00296903	-0.009436366	0.0004579286	0	0	0	9342.454	9131.554	9146.724	8599.979	9425.009	8968.239	9207.795	
3.084	20	13	35	41	1	-1499.921	-0.003032542	10.6107	-0.002452555	-0.005590417	0.0004145095	0	0	0	9342.468	9131.554	9146.722	8599.965	9424.998	8968.241	9207.793	
3.132	20	13	35	42	1	-1499.921	-0.002861487	10.75456	-0.00154114	-0.007487965	0.0004083247	0	0	0	9342.483	9131.554	9146.72	8599.951	9424.986	8968.243	9207.791	
3.18	20	13	35	42	1	-1499.921	-0.002662	10.89731	-0.001220283	-0.006594007	0.000404018	0	0	0	9342.497	9131.554	9146.717	8599.936	9424.974	8968.245	9207.789	
3.228	20	13	35	42	1	-1499.921	-0.002444924	11.03888	-0.0003526602	-0.004948468	0.0004159168	0	0	0	9342.51	9131.554	9146.715	8599.922	9424.962	8968.248	9207.788	
3.276	20	13	35	42	1	-1499.921	-0.002247317	11.16761	0.0008883029	-0.006731349	0.0004612433	0	0	0	9342.524	9131.555	9146.713	8599.907	9424.95	8968.25	9207.786	
3.32	20	13	35	42	1	-1499.921	-0.002056561	11.30693	0.0005600351	-0.004861831	0.0005143939	0	0	0	9342.536	9131.556	9146.71	8599.894	9424.938	8968.253	9207.785	
3.368	20	13	35	42	1	-1499.921	-0.001901823	11.43354	0.0009033577	-0.00447646	0.000555644	0	0	0	9342.549	9131.556	9146.708	8599.879	9424.926	8968.256	9207.783	
3.416	20	13	35	42	1	-1499.921	-0.001752465	11.58189	0.0019955	-0.002990062	0.0006158355	0	0	0	9342.561	9131.557	9146.706	8599.865	9424.913	8968.259	9207.782	
3.464	20	13	35	42	1	-1499.921	-0.001672346	11.70631	0.001584106	-0.002330588	0.000656576	0	0	0	9342.573	9131.558	9146.704	8599.85	9424.901	8968.262	9207.781	
3.508	20	13	35	42	1	-1499.921	-0.00162389	11.84087	-0.0001099477	-0.00412136	0.0006741233	0	0	0	9342.584	9131.56	9146.702	8599.836	9424.889	8968.264	9207.78	
3.56	20	13	35	42	1	-1499.921	-0.001583192	11.97416	-0.0006147494	-0.005893436	0.0006702838	0	0	0	9342.596	9131.561	9146.7	8599.82	9424.875	8968.268	9207.779	
3.604	20	13	35	42	1	-1499.921	-0.001538058	12.10624	-0.0003043762	-0.004797147	0.0006551195	0	0	0	9342.606	9131.562	9146.699	8599.806	9424.863	8968.271	9207.778	
3.652	20	13	35	42	1	-1499.921	-0.001494286	12.23712	0.0002073139	-0.008017844	0.0006291721	0	0	0	9342.617	9131.564	9146.697	8599.791	9424.85	8968.274	9207.778	
3.7	20	13	35	42	1	-1499.921	-0.001461248	12.36679	-0.000273513	-0.006018973	0.0006072581	0	0	0	9342.627	9131.566	9146.696	8599.776	9424.837	8968.277	9207.777	
3.748	20	13	35	42	1	-1499.921	-0.001431706	12.49524	-0.0002370495	-0.008111377	0.0005958796	0	0	0	9342.637	9131.567	9146.695	8599.761	9424.824	8968.28	9207.776	
3.792	20	13	35	42	1	-1499.921	-0.001409134	12.61192	0.001391809	-0.005085183	0.000565948	0	0	0	9342.646	9131.569	9146.693	8599.747	9424.812	8968.283	9207.776	
3.84	20	13	35	42	1	-1499.921	-0.00141893	12.738	0.002404549	-0.001978312	0.0005501017	0	0	0	9342.656	9131.571	9146.692	8599.732	9424.799	8968.286	9207.776	
