time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	27	19	5	16	0	0	0	0	0	0	0	0	0	0	8396.548	9404.019	9137.699	9291.158	9383.296	8965.048	9208.969	
0	27	19	5	16	1	-1500	-1.875495e-07	4.2755	0	0	0	0	0	0	8396.552	9404.024	9137.7	9291.143	9383.296	8965.047	9208.969	
0.044	27	19	5	16	1	-1500	-2.097152e-07	4.275503	0	0	0	0	0	0	8396.556	9404.027	9137.702	9291.127	9383.297	8965.046	9208.97	
0.08	27	19	5	16	1	-1500	-4.608283e-05	4.275533	0	0	0	0	0	0	8396.559	9404.027	9137.703	9291.113	9383.298	8965.045	9208.97	
0.12	27	19	5	16	1	-1500	-0.0001446343	4.275597	0	0	0	0	0	0	8396.562	9404.025	9137.705	9291.099	9383.298	8965.045	9208.971	
0.16	27	19	5	16	1	-1500	-0.0002380016	4.275675	0	0	0	0	0	0	8396.564	9404.022	9137.706	9291.084	9383.299	8965.044	9208.972	
0.208	27	19	5	17	1	-1500	-0.0003297931	4.275775	0	0	0	0	0	0	8396.567	9404.02	9137.708	9291.066	9383.301	8965.043	9208.973	
0.236	27	19	5	17	1	-1500	-0.0004170422	4.275851	0	0	0	0	0	0	8396.568	9404.019	9137.71	9291.055	9383.302	8965.043	9208.973	
0.268	27	19	5	17	1	-1500	-0.0004635078	4.275953	0	0	0	0	0	0	8396.57	9404.019	9137.711	9291.043	9383.303	8965.042	9208.974	
0.308	27	19	5	17	1	-1499.999	-0.0005437389	4.276069	0	0	0	0	0	0	8396.571	9404.019	9137.713	9291.028	9383.304	8965.042	9208.975	
0.352	27	19	5	17	1	-1499.999	-0.0006153755	4.276183	0	0	0	0	0	0	8396.572	9404.02	9137.715	9291.012	9383.306	8965.041	9208.976	
0.388	27	19	5	17	1	-1499.999	-0.0006457592	4.27627	0	0	0	0	0	0	8396.573	9404.021	9137.716	9290.998	9383.308	8965.041	9208.976	
0.428	27	19	5	17	1	-1499.998	-0.0006704797	4.27637	0	0	0	0	0	0	8396.574	9404.023	9137.718	9290.983	9383.31	8965.04	9208.977	
0.472	27	19	5	17	1	-1499.998	-0.0007676958	4.276491	0	0	0	0	0	0	8396.575	9404.027	9137.72	9290.967	9383.312	8965.04	9208.978	
0.512	27	19	5	17	1	-1499.997	-0.0008833576	4.276613	0	0	0	0	0	0	8396.575	9404.031	9137.722	9290.952	9383.315	8965.039	9208.979	
0.556	27	19	5	17	1	-1499.997	-0.0009664047	4.276764	0.004786153	0.00385323	-0.0008924481	0	0	0	8396.575	9404.033	9137.723	9290.936	9383.317	8965.039	9208.981	
0.608	27	19	5	17	1	-1499.996	-0.0009903688	4.277587	0.001092894	-0.0006386101	-0.0008761453	0	0	0	8396.574	9404.032	9137.726	9290.918	9383.321	8965.038	9208.982	
