time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	27	18	26	13	0	0	0	0	0	0	0	0	0	0	9335.849	9132.149	9137.631	9313.11	9382.894	8964.854	9209.038	
0	27	18	26	13	1	-1500	3.986119e-08	4.2755	0	0	0	0	0	0	9335.847	9132.148	9137.632	9313.094	9382.893	8964.851	9209.038	
0.032	27	18	26	13	1	-1500	1.293619e-06	4.275495	0	0	0	0	0	0	9335.845	9132.146	9137.633	9313.082	9382.892	8964.849	9209.038	
0.06	27	18	26	13	1	-1500	1.920697e-05	4.275509	0	0	0	0	0	0	9335.844	9132.145	9137.634	9313.071	9382.892	8964.847	9209.038	
0.104	27	18	26	13	1	-1500	8.386203e-06	4.275548	0	0	0	0	0	0	9335.841	9132.144	9137.635	9313.055	9382.891	8964.844	9209.039	
0.144	27	18	26	13	1	-1500	-0.0001275422	4.275636	0	0	0	0	0	0	9335.84	9132.142	9137.636	9313.04	9382.89	8964.841	9209.039	
0.188	27	18	26	13	1	-1500	-0.0003163494	4.275772	0	0	0	0	0	0	9335.838	9132.141	9137.637	9313.024	9382.889	8964.838	9209.039	
0.236	27	18	26	13	1	-1500	-0.0005319898	4.275892	0	0	0	0	0	0	9335.836	9132.139	9137.638	9313.008	9382.889	8964.835	9209.04	
0.264	27	18	26	13	1	-1500	-0.0006917397	4.275973	0.002026975	0.008927386	0.001135847	0	0	0	9335.835	9132.139	9137.639	9312.996	9382.888	8964.833	9209.04	
0.296	27	18	26	13	1	-1500	-0.000814376	4.276312	0.001397336	0.005334478	0.001664968	0	0	0	9335.834	9132.138	9137.64	9312.984	9382.888	8964.831	9209.04	
0.328	27	18	26	13	1	-1500	-0.0009532072	4.278199	0.00059534	-0.002290365	0.002246957	0	0	0	9335.833	9132.137	9137.641	9312.973	9382.888	8964.829	9209.04	
0.352	27	18	26	13	1	-1500	-0.001062145	4.280939	4.355748e-05	-0.003628954	0.002575616	0	0	0	9335.833	9132.136	9137.641	9312.964	9382.887	8964.827	9209.04	
0.392	27	18	26	13	1	-1500	-0.001208033	4.288094	-0.001738336	-0.001175726	0.00297584	0	0	0	9335.832	9132.135	9137.642	9312.949	9382.887	8964.825	9209.04	
0.436	27	18	26	13	1	-1499.999	-0.00134152	4.299734	-0.003725129	0.002285321	0.00337424	0	0	0	9335.832	9132.134	9137.643	9312.933	9382.887	8964.822	9209.04	
0.472	27	18	26	13	1	-1499.999	-0.001466937	4.312197	-0.002339296	0.0004703068	0.003639637	0	0	0	9335.831	9132.134	9137.644	9312.92	9382.887	8964.82	9209.04	
0.512	27	18	26	13	1	-1499.999	-0.001590311	4.329139	-0.0001262698	-0.0006601564	0.003858477	0	0	0	9335.831	9132.133	9137.645	9312.906	9382.887	8964.818	9209.041	
0.556	27	18	26	13	1	-1499.999	-0.001711623	4.351533	0.001807484	0.0003699151	0.004052793	0	0	0	9335.832	9132.132	9137.646	9312.89	9382.887	8964.815	9209.041	
0.592	27	18	26	13	1	-1499.998	-0.001810796	4.372787	0.002550175	-0.0007378333	0.004183965	0	0	0	9335.832	9132.132	9137.646	9312.877	9382.887	8964.813	9209.041	
0.628	27	18	26	14	1	-1499.998	-0.001868496	4.396688	0.0006136621	-0.0004937717	0.004279218	0	0	0	9335.833	9132.131	9137.647	9312.864	9382.887	8964.811	9209.041	
0.672	27	18	26	14	1	-1499.998	-0.001924465	4.429483	-0.002600995	-0.0001733497	0.004361589	0	0	0	9335.833	9132.131	9137.647	9312.848	9382.888	8964.809	9209.041	
0.688	27	18	26	14	1	-1499.997	-0.001930935	4.442382	-0.003894098	6.712767e-05	0.004374048	0	0	0	9335.834	9132.131	9137.647	9312.843	9382.888	8964.808	9209.041	
0.724	27	18	26	14	1	-1499.997	-0.001932485	4.473306	-0.005639471	-0.0004063785	0.004402811	0	0	0	9335.835	9132.131	9137.648	9312.83	9382.889	8964.807	9209.041	
0.776	27	18	26	14	1	-1499.997	-0.001892489	4.52263	-0.004777704	0.0002016111	0.004453315	0	0	0	9335.837	9132.13	9137.648	9312.811	9382.89	8964.805	9209.04	
0.82	27	18	26	14	1	-1499.996	-0.001883013	4.56868	0.0009042499	0.004026019	0.00447997	0	0	0	9335.839	9132.13	9137.648	9312.796	9382.891	8964.803	9209.04	
0.852	27	18	26	14	1	-1499.996	-0.001929364	4.604649	0.006515348	0.004644208	0.004458687	0	0	0	9335.84	9132.13	9137.648	9312.784	9382.892	8964.802	9209.04	
0.892	27	18	26	14	1	-1499.995	-0.002026089	4.652539	0.01083191	0.002431064	0.004393707	0	0	0	9335.842	9132.13	9137.648	9312.77	9382.893	8964.801	9209.04	
0.936	27	18	26	14	1	-1499.995	-0.002093606	4.708972	0.006532565	-0.001954251	0.004306181	0	0	0	9335.845	9132.13	9137.648	9312.755	9382.894	8964.799	9209.04	
0.964	27	18	26	14	1	-1499.994	-0.002144552	4.74693	0.00108266	-0.003613135	0.004280924	0	0	0	9335.847	9132.13	9137.648	9312.745	9382.895	8964.799	9209.04	
1	27	18	26	14	1	-1499.994	-0.002252941	4.798082	-0.004784656	-0.002943035	0.004277679	0	0	0	9335.849	9132.13	9137.647	9312.732	9382.897	8964.798	9209.04	
1.044	27	18	26	14	1	-1499.993	-0.002432946	4.864182	-0.006922057	0.0009386438	0.004254128	0	0	0	9335.853	9132.131	9137.647	9312.717	9382.899	8964.797	9209.04	
1.092	27	18	26	14	1	-1499.992	-0.002671738	4.940785	-0.002123437	-0.000738929	0.004259953	0	0	0	9335.856	9132.131	9137.646	9312.7	9382.901	8964.797	9209.039	
1.124	27	18	26	14	1	-1499.992	-0.002837833	4.994454	0.002716825	-0.003753908	0.004271868	0	0	0	9335.859	9132.131	9137.646	9312.689	9382.902	8964.796	9209.039	
1.168	27	18	26	14	1	-1499.991	-0.003081105	5.071557	0.007697053	-0.003677567	0.004313679	0	0	0	9335.863	9132.131	9137.645	9312.673	9382.905	8964.796	9209.039	
1.212	27	18	26	14	1	-1499.99	-0.003343743	5.152353	0.00761355	-0.002293391	0.004372844	0	0	0	9335.867	9132.132	9137.644	9312.658	9382.907	8964.796	9209.039	
1.252	27	18	26	14	1	-1499.99	-0.003581644	5.22108	0.003316314	-0.002266204	0.00439261	0	0	0	9335.871	9132.132	9137.643	9312.646	9382.909	8964.796	9209.039	
1.296	27	18	26	14	1	-1499.989	-0.003838906	5.316207	-0.00543994	-0.001851691	0.00440748	0	0	0	9335.876	9132.133	9137.642	9312.629	9382.912	8964.796	9209.038	
1.34	27	18	26	14	1	-1499.989	-0.004031707	5.406761	-0.01167587	-0.001795099	0.004413763	0	0	0	9335.88	9132.133	9137.641	9312.614	9382.915	8964.797	9209.038	
1.376	27	18	26	14	1	-1499.988	-0.004189034	5.483127	-0.01038617	-0.0002652109	0.004415981	0	0	0	9335.884	9132.134	9137.639	9312.602	9382.917	8964.797	9209.038	
1.42	27	18	26	15	1	-1499.988	-0.004390324	5.579104	-0.0020299	0.0002408801	0.004446035	0	0	0	9335.889	9132.135	9137.638	9312.587	9382.92	8964.798	9209.037	
1.464	27	18	26	15	1	-1499.987	-0.004582134	5.677845	0.007446487	-0.002160196	0.004494741	0	0	0	9335.895	9132.135	9137.637	9312.572	9382.922	8964.799	9209.037	
1.488	27	18	26	15	1	-1499.987	-0.004687681	5.732825	0.01071083	-0.002909192	0.004514094	0	0	0	9335.897	9132.136	9137.636	9312.563	9382.924	8964.8	9209.037	
