time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	27	18	55	57	0	0	0	0	0	0	0	0	0	0	9329.939	9470.283	9137.723	9293.925	9383.307	8964.967	9209.012	
0	27	18	55	57	1	-1500	-3.402429e-08	4.2755	0	0	0	0	0	0	9329.929	9470.284	9137.723	9293.913	9383.309	8964.967	9209.012	
0.052	27	18	55	57	1	-1500	5.78781e-06	4.275506	0	0	0	0	0	0	9329.916	9470.282	9137.723	9293.897	9383.311	8964.967	9209.012	
0.096	27	18	55	57	1	-1500	2.891001e-05	4.275523	0	0	0	0	0	0	9329.905	9470.279	9137.722	9293.884	9383.313	8964.967	9209.011	
0.148	27	18	55	57	1	-1500	2.571201e-05	4.275576	0	0	0	0	0	0	9329.894	9470.278	9137.722	9293.87	9383.314	8964.967	9209.011	
0.192	27	18	55	57	1	-1500	9.78873e-05	4.275646	0	0	0	0	0	0	9329.883	9470.279	9137.721	9293.856	9383.316	8964.967	9209.011	
0.236	27	18	55	57	1	-1500	0.0002657389	4.275759	0	0	0	0	0	0	9329.872	9470.28	9137.72	9293.843	9383.317	8964.967	9209.011	
0.288	27	18	55	57	1	-1500	0.000483233	4.275902	0	0	0	0	0	0	9329.861	9470.28	9137.719	9293.828	9383.318	8964.968	9209.01	
0.332	27	18	55	57	1	-1499.999	0.0006092698	4.27602	0	0	0	0	0	0	9329.851	9470.279	9137.718	9293.815	9383.319	8964.968	9209.01	
0.38	27	18	55	57	1	-1499.999	0.0007379625	4.276142	0	0	0	0	0	0	9329.84	9470.279	9137.716	9293.8	9383.32	8964.969	9209.009	
0.424	27	18	55	57	1	-1499.999	0.0009329716	4.276265	0	0	0	0	0	0	9329.831	9470.28	9137.715	9293.787	9383.321	8964.969	9209.009	
0.472	27	18	55	57	1	-1499.998	0.001114235	4.276416	0	0	0	0	0	0	9329.821	9470.284	9137.713	9293.773	9383.322	8964.97	9209.008	
0.516	27	18	55	57	1	-1499.998	0.001209948	4.276569	0	0	0	0	0	0	9329.811	9470.287	9137.712	9293.759	9383.322	8964.97	9209.008	
0.564	27	18	55	57	1	-1499.997	0.001258017	4.276761	0	0	0	0	0	0	9329.801	9470.289	9137.71	9293.745	9383.323	8964.971	9209.007	
0.612	27	18	55	57	1	-1499.997	0.001286481	4.27695	0.003242505	-0.0012341	-0.001861495	0	0	0	9329.791	9470.288	9137.708	9293.731	9383.323	8964.972	9209.007	
0.656	27	18	55	57	1	-1499.996	0.00135872	4.277804	0.001886232	0.0005668072	-0.001915902	0	0	0	9329.782	9470.286	9137.706	9293.717	9383.324	8964.973	9209.006	
