time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	24	19	49	25	0	0	0	0	0	0	0	0	0	0	
0	24	19	49	25	1	-1508	1.551952e-06	4.2755	0	0	0	0	0	0	
0.02	24	19	49	25	1	-1508	1.551952e-06	4.2755	0	0	0	0	0	0	
0.04	24	19	49	25	1	-1508	1.551952e-06	4.2755	0	0	0	0	0	0	
0.06	24	19	49	25	1	-1508	2.160126e-06	4.275498	0	0	0	0	0	0	
0.076	24	19	49	25	1	-1508	1.755136e-06	4.2755	0	0	0	0	0	0	
0.104	24	19	49	25	1	-1508	-1.40889e-05	4.275516	0	0	0	0	0	0	
0.128	24	19	49	25	1	-1508	-3.095022e-05	4.275529	0	0	0	0	0	0	
0.152	24	19	49	26	1	-1508	-5.756897e-05	4.275553	0	0	0	0	0	0	
0.184	24	19	49	26	1	-1508	-9.603539e-05	4.275588	0	0	0	0	0	0	
0.208	24	19	49	26	1	-1508	-0.0001363714	4.275613	0	0	0	0	0	0	
0.24	24	19	49	26	1	-1508	-0.0002047724	4.275649	0	0	0	0	0	0	
0.268	24	19	49	26	1	-1508	-0.0002729695	4.275685	0	0	0	0	0	0	
0.292	24	19	49	26	1	-1508	-0.000321475	4.275707	0	0	0	0	0	0	
0.304	24	19	49	26	1	-1508	-0.0003580073	4.275725	0	0	0	0	0	0	
0.332	24	19	49	26	1	-1508	-0.0004154205	4.275758	0	0	0	0	0	0	
0.356	24	19	49	26	1	-1508	-0.0004515048	4.275782	0	0	0	0	0	0	
0.372	24	19	49	26	1	-1508	-0.0004868383	4.275805	-0.001738226	-0.0003584873	0.0001442283	0	0	0	
0.396	24	19	49	26	1	-1507.999	-0.0005280361	4.275909	-0.002880329	-0.001879541	0.0001146335	0	0	0	
0.416	24	19	49	26	1	-1507.999	-0.0005492086	4.276532	-0.003806465	-0.001870069	8.84634e-05	0	0	0	
0.444	24	19	49	26	1	-1507.999	-0.0005676874	4.278665	-0.004429857	-0.0004270981	4.489406e-05	0	0	0	
0.472	24	19	49	26	1	-1507.999	-0.0005846888	4.28236	-0.003715117	0.00148673	4.947049e-06	0	0	0	
0.492	24	19	49	26	1	-1507.999	-0.000590622	4.285966	-0.002673402	0.002139616	-1.566357e-05	0	0	0	
0.516	24	19	49	26	1	-1507.999	-0.0005878028	4.291359	-0.001202611	0.002411127	-3.522295e-05	0	0	0	
0.544	24	19	49	26	1	-1507.999	-0.0005750611	4.297913	0.0004585208	0.002300686	-5.628296e-05	0	0	0	
0.564	24	19	49	26	1	-1507.998	-0.0005610016	4.305627	0.001552346	0.00169845	-6.949396e-05	0	0	0	
0.592	24	19	49	26	1	-1507.998	-0.0005448911	4.316094	0.002657611	0.0009876966	-9.035233e-05	0	0	0	
0.612	24	19	49	26	1	-1507.998	-0.000542865	4.322788	0.003260176	0.0008345283	-0.000108188	0	0	0	
0.636	24	19	49	27	1	-1507.998	-0.0005392656	4.3338	0.00327768	0.0008322225	-0.0001294738	0	0	0	
0.668	24	19	49	27	1	-1507.997	-0.0005455676	4.352503	0.00253131	0.0008843475	-0.0001589451	0	0	0	
0.708	24	19	49	27	1	-1507.997	-0.0005604663	4.373824	0.0004902457	0.0003686627	-0.0001906483	0	0	0	
0.732	24	19	49	27	1	-1507.997	-0.0005722967	4.389491	-0.0008632273	0.0006526536	-0.0002090742	0	0	0	
0.764	24	19	49	27	1	-1507.996	-0.0005889252	4.412193	-0.002314582	0.001592655	-0.0002315597	0	0	0	
0.784	24	19	49	27	1	-1507.996	-0.0006031822	4.43058	-0.002715334	0.001009568	-0.0002436696	0	0	0	
0.804	24	19	49	27	1	-1507.996	-0.0006144266	4.446794	-0.002686663	-0.0001300395	-0.0002506679	0	0	0	
0.824	24	19	49	27	1	-1507.996	-0.0006198497	4.463819	-0.002414719	-0.0007565948	-0.0002600041	0	0	0	
0.844	24	19	49	27	1	-1507.995	-0.0006194202	4.481651	-0.001825163	-0.000307838	-0.000276442	0	0	0	
0.876	24	19	49	27	1	-1507.995	-0.0006124894	4.511853	-0.0007824343	0.0004985403	-0.0002987897	0	0	0	
0.912	24	19	49	27	1	-1507.994	-0.0005772287	4.548265	-1.511365e-05	0.0005748672	-0.0003232837	0	0	0	
0.936	24	19	49	27	1	-1507.994	-0.0005411876	4.573949	9.673774e-05	0.000812745	-0.0003392154	0	0	0	
0.96	24	19	49	27	1	-1507.993	-0.0004982039	4.600743	-4.131111e-05	0.0007668045	-0.0003601131	0	0	0	
0.988	24	19	49	27	1	-1507.993	-0.0004510982	4.628634	-0.0003471036	0.0006626638	-0.0003930278	0	0	0	
1.012	24	19	49	27	1	-1507.993	-0.0003883321	4.662542	-0.0007655274	0.0004974305	-0.0004231525	0	0	0	
1.036	24	19	49	27	1	-1507.992	-0.000332656	4.692767	-0.001035104	0.0002864761	-0.000451027	0	0	0	
1.06	24	19	49	27	1	-1507.992	-0.00028732	4.724048	-0.0007091756	0.0001774885	-0.0004790876	0	0	0	
1.084	24	19	49	27	1	-1507.991	-0.000243251	4.756373	-0.0001697199	0.0001866843	-0.0005041342	0	0	0	
1.112	24	19	49	27	1	-1507.991	-0.0001704015	4.795395	-0.0002079229	0.0003448254	-0.0005377	0	0	0	
1.148	24	19	49	27	1	-1507.99	-5.380679e-05	4.847606	-0.0009010466	-0.0006832441	-0.0005859402	0	0	0	
1.184	24	19	49	28	1	-1507.989	5.307853e-05	4.895907	-0.001257894	-0.0009723625	-0.0006419555	0	0	0	
1.216	24	19	49	28	1	-1507.989	0.0001862185	4.952334	-0.001449835	-0.0004542904	-0.0006969432	0	0	0	
1.24	24	19	49	28	1	-1507.988	0.0002700615	4.991164	-0.001006919	-9.155908e-05	-0.00073634	0	0	0	
1.264	24	19	49	28	1	-1507.988	0.0003270448	5.02425	0.0002265813	0.0003483792	-0.0007732895	0	0	0	
1.292	24	19	49	28	1	-1507.987	0.0004118773	5.078552	0.001746499	0.0001342357	-0.0008278666	0	0	0	
1.316	24	19	49	28	1	-1507.987	0.0004716081	5.113334	0.002337815	-0.0009226776	-0.0008838054	0	0	0	
1.336	24	19	49	28	1	-1507.986	0.0005572284	5.155919	0.002037269	-0.001282229	-0.0009312035	0	0	0	
1.36	24	19	49	28	1	-1507.986	0.0006410028	5.192106	0.0007950431	-0.0002420546	-0.0009778462	0	0	0	
1.384	24	19	49	28	1	-1507.985	0.0007439031	5.236357	-0.0006799909	0.0008364792	-0.001013701	0	0	0	
1.404	24	19	49	28	1	-1507.985	0.0008455283	5.281499	-0.001767196	0.0008476474	-0.001037314	0	0	0	
1.424	24	19	49	28	1	-1507.984	0.0009311452	5.31979	-0.002739061	-9.391532e-05	-0.001059557	0	0	0	
1.448	24	19	49	28	1	-1507.984	0.001038181	5.366536	-0.003235994	-0.001424809	-0.001080566	0	0	0	
1.472	24	19	49	28	1	-1507.983	0.001143939	5.414144	-0.003040236	-0.002403935	-0.001096703	0	0	0	
1.496	24	19	49	28	1	-1507.983	0.001250885	5.462604	-0.002226443	-0.002756588	-0.001114862	0	0	0	
1.524	24	19	49	28	1	-1507.982	0.001367019	5.520206	-4.948054e-05	-0.001131143	-0.001137404	0	0	0	
1.536	24	19	49	28	1	-1507.982	0.001413457	5.54524	0.0009405265	-0.000295447	-0.00114422	0	0	0	
1.56	24	19	49	28	1	-1507.981	0.001506802	5.595927	0.002428597	0.0006437504	-0.001156425	0	0	0	
1.588	24	19	49	28	1	-1507.981	0.001597365	5.647433	0.003942544	0.0002667229	-0.001180914	0	0	0	
1.616	24	19	49	28	1	-1507.98	0.001710104	5.708545	0.004054709	-0.00129832	-0.00120632	0	0	0	
1.636	24	19	49	28	1	-1507.98	0.001791647	5.752859	0.003343464	-0.001898439	-0.001217753	0	0	0	
1.66	24	19	49	29	1	-1507.979	0.001919818	5.815819	0.001403057	-0.001545096	-0.001223495	0	0	0	
1.684	24	19	49	29	1	-1507.978	0.002031046	5.870629	-0.0008388375	-0.0002148592	-0.001234165	0	0	0	
1.712	24	19	49	29	1	-1507.978	0.002140351	5.935546	-0.002488004	0.001366055	-0.00123733	0	0	0	
1.728	24	19	49	29	1	-1507.977	0.002192891	5.973107	-0.002769609	0.001827971	-0.001235051	0	0	0	
1.748	24	19	49	29	1	-1507.977	0.002254163	6.020525	-0.002578929	0.001780186	-0.001227487	0	0	0	
1.772	24	19	49	29	1	-1507.976	0.002326632	6.078106	-0.001786788	0.0007348059	-0.00121625	0	0	0	
1.792	24	19	49	29	1	-1507.976	0.002372943	6.116901	-0.0007016563	-0.001058059	-0.001210893	0	0	0	
1.808	24	19	49	29	1	-1507.975	0.002424598	6.165852	0.0004405256	-0.002555171	-0.001212438	0	0	0	
1.832	24	19	49	29	1	-1507.975	0.002468398	6.215304	0.002341835	-0.003992365	-0.001225323	0	0	0	
1.856	24	19	49	29	1	-1507.974	0.002525688	6.285372	0.003867039	-0.003922377	-0.001240656	0	0	0	
1.872	24	19	49	29	1	-1507.974	0.002556632	6.325844	0.004490866	-0.003055971	-0.001244906	0	0	0	
1.904	24	19	49	29	1	-1507.973	0.002613914	6.397418	0.004305095	-0.0006127248	-0.001243197	0	0	0	
1.94	24	19	49	29	1	-1507.972	0.002686762	6.50129	0.002479849	0.0004040306	-0.001242718	0	0	0	
1.976	24	19	49	29	1	-1507.971	0.002734307	6.596385	6.698793e-05	-0.0002040989	-0.001244786	0	0	0	
2.012	24	19	49	29	1	-1507.971	0.002768548	6.682173	-0.002064048	-0.001795349	-0.001253234	0	0	0	
2.036	24	19	49	29	1	-1507.97	0.002802259	6.758202	-0.003068218	-0.002421644	-0.001252707	0	0	0	
