time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	24	19	49	25	0	0	0	0	0	0	0	0	0	0	
0	24	19	49	25	1	-1502	1.551952e-06	4.2755	0	0	0	0	0	0	
0.008	24	19	49	25	1	-1502	1.551952e-06	4.2755	0	0	0	0	0	0	
0.032	24	19	49	25	1	-1502	1.551952e-06	4.2755	0	0	0	0	0	0	
0.052	24	19	49	25	1	-1502	1.519515e-06	4.2755	0	0	0	0	0	0	
0.072	24	19	49	25	1	-1502	4.910832e-06	4.275502	0	0	0	0	0	0	
0.092	24	19	49	25	1	-1502	1.591647e-05	4.275509	0	0	0	0	0	0	
0.108	24	19	49	25	1	-1502	3.640458e-05	4.275526	0	0	0	0	0	0	
0.136	24	19	49	25	1	-1502	7.735548e-05	4.27556	0	0	0	0	0	0	
0.164	24	19	49	25	1	-1502	0.0001070691	4.275598	0	0	0	0	0	0	
0.192	24	19	49	25	1	-1502	0.0001110166	4.275647	0	0	0	0	0	0	
0.204	24	19	49	25	1	-1502	0.0001115822	4.275668	0	0	0	0	0	0	
0.228	24	19	49	25	1	-1502	0.0001164933	4.275712	0	0	0	0	0	0	
0.244	24	19	49	25	1	-1502	0.0001196771	4.275742	0	0	0	0	0	0	
0.264	24	19	49	25	1	-1502	0.0001237167	4.275776	0	0	0	0	0	0	
0.288	24	19	49	25	1	-1502	0.0001349481	4.275818	0	0	0	0	0	0	
0.312	24	19	49	25	1	-1502	0.0001580788	4.275861	0	0	0	0	0	0	
0.336	24	19	49	26	1	-1501.999	0.0001901842	4.275907	-0.001474504	-0.001268155	-0.000448884	0	0	0	
0.372	24	19	49	26	1	-1501.999	0.0002245558	4.276324	-0.001398127	0.002304667	-0.0005560528	0	0	0	
0.392	24	19	49	26	1	-1501.999	0.0002435675	4.277395	-0.00103562	0.003627272	-0.0006041686	0	0	0	
0.42	24	19	49	26	1	-1501.999	0.0002783161	4.280206	-0.000534412	0.003147351	-0.0006520868	0	0	0	
0.456	24	19	49	26	1	-1501.999	0.0003217517	4.285345	0.0002746168	0.001174435	-0.0006969274	0	0	0	
0.48	24	19	49	26	1	-1501.998	0.0003369457	4.291537	0.001433578	0.0007653488	-0.0007220605	0	0	0	
0.492	24	19	49	26	1	-1501.998	0.0003409582	4.294675	0.001970165	0.0009280519	-0.000730536	0	0	0	
0.52	24	19	49	26	1	-1501.998	0.0003530067	4.301824	0.002589514	0.001663693	-0.000746233	0	0	0	
0.54	24	19	49	26	1	-1501.998	0.0003595764	4.308665	0.002676917	0.002084269	-0.0007553003	0	0	0	
0.56	24	19	49	26	1	-1501.997	0.0003651616	4.317926	0.002379984	0.002202935	-0.000761328	0	0	0	
0.584	24	19	49	26	1	-1501.997	0.0003612274	4.326511	0.001915335	0.001799108	-0.0007697176	0	0	0	
0.604	24	19	49	26	1	-1501.997	0.0003482781	4.337841	0.001398687	0.001260459	-0.0007775326	0	0	0	
0.628	24	19	49	26	1	-1501.997	0.0003399146	4.34813	0.0003738104	0.0004176586	-0.0007864232	0	0	0	
0.66	24	19	49	26	1	-1501.996	0.0003331156	4.368568	-0.001306715	-0.0002088751	-0.0007973274	0	0	0	
0.68	24	19	49	26	1	-1501.996	0.0003274068	4.378432	-0.001998919	-0.000306246	-0.0008089869	0	0	0	
0.7	24	19	49	26	1	-1501.995	0.0003194628	4.394116	-0.00238717	-4.449213e-05	-0.0008221035	0	0	0	
0.728	24	19	49	26	1	-1501.995	0.0003162208	4.413743	-0.002480127	0.0001659922	-0.0008350161	0	0	0	
0.748	24	19	49	26	1	-1501.995	0.0003158928	4.428629	-0.00213414	3.857369e-05	-0.0008462506	0	0	0	
0.776	24	19	49	26	1	-1501.994	0.0003049013	4.450667	-0.0007397175	3.420197e-05	-0.0008684715	0	0	0	
0.796	24	19	49	26	1	-1501.994	0.0002898321	4.467254	0.0006817949	0.0001211731	-0.0008876164	0	0	0	
0.82	24	19	49	27	1	-1501.993	0.0002735293	4.488076	0.002173283	0.0002285588	-0.0009105487	0	0	0	
0.848	24	19	49	27	1	-1501.993	0.0002640896	4.513615	0.002958854	0.0007232134	-0.0009250351	0	0	0	
0.884	24	19	49	27	1	-1501.992	0.0002727903	4.544426	0.001932015	0.0005321971	-0.0009308269	0	0	0	
0.916	24	19	49	27	1	-1501.992	0.0002883235	4.581124	2.047215e-05	-0.001194905	-0.0009285062	0	0	0	
0.944	24	19	49	27	1	-1501.991	0.0003062103	4.611128	-0.001863473	-0.001289954	-0.000926046	0	0	0	
0.968	24	19	49	27	1	-1501.991	0.0003224265	4.637848	-0.003070469	0.0002029791	-0.0009313525	0	0	0	
0.996	24	19	49	27	1	-1501.99	0.0003478978	4.665484	-0.00399298	0.001470667	-0.0009433939	0	0	0	
1.012	24	19	49	27	1	-1501.99	0.000371153	4.684409	-0.004209377	0.002271787	-0.0009534636	0	0	0	
1.032	24	19	49	27	1	-1501.989	0.0004181463	4.713538	-0.004229121	0.003129058	-0.0009668817	0	0	0	
1.06	24	19	49	27	1	-1501.989	0.0004722526	4.743547	-0.003340474	0.002391313	-0.0009730865	0	0	0	
1.092	24	19	49	27	1	-1501.988	0.0005456463	4.790187	-0.000921162	0.0004064059	-0.0009651941	0	0	0	
1.116	24	19	49	27	1	-1501.988	0.000589567	4.822346	0.001369946	-0.0002628751	-0.0009532719	0	0	0	
1.148	24	19	49	27	1	-1501.987	0.000646978	4.866528	0.003921418	0.0003927019	-0.000932838	0	0	0	
1.172	24	19	49	27	1	-1501.986	0.00070423	4.900628	0.004398494	0.0009895255	-0.0009178481	0	0	0	
1.196	24	19	49	27	1	-1501.986	0.0007617781	4.929666	0.003468439	0.0008477403	-0.0009057169	0	0	0	
1.224	24	19	49	27	1	-1501.985	0.0008643487	4.97728	0.001185143	-1.029276e-05	-0.0009052343	0	0	0	
1.244	24	19	49	27	1	-1501.984	0.0009292564	5.007751	-0.0007279673	0.0003766962	-0.0009074782	0	0	0	
1.268	24	19	49	27	1	-1501.984	0.001003944	5.045027	-0.002738397	0.001044537	-0.0009049301	0	0	0	
1.296	24	19	49	27	1	-1501.983	0.001083576	5.089483	-0.004038032	0.0009456714	-0.0009042224	0	0	0	
1.328	24	19	49	27	1	-1501.982	0.001158874	5.141542	-0.00351704	-0.0005839194	-0.0008965407	0	0	0	
1.36	24	19	49	28	1	-1501.981	0.001243506	5.194913	-0.00194647	-0.0008232795	-0.0008801532	0	0	0	
1.396	24	19	49	28	1	-1501.98	0.001369787	5.256499	-0.0003337001	0.0008472225	-0.0008581248	0	0	0	
1.424	24	19	49	28	1	-1501.979	0.001469175	5.305504	0.001045018	0.001291385	-0.0008291317	0	0	0	
1.444	24	19	49	28	1	-1501.979	0.001543103	5.341089	0.001769653	0.0006003185	-0.0008045671	0	0	0	
1.48	24	19	49	28	1	-1501.978	0.001666986	5.399011	0.002121687	-0.001466628	-0.0007570034	0	0	0	
1.5	24	19	49	28	1	-1501.977	0.001764642	5.443238	0.00176248	-0.001799254	-0.0007308531	0	0	0	
1.524	24	19	49	28	1	-1501.977	0.001838546	5.4806	0.001302569	-0.001857961	-0.0007020835	0	0	0	
