time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	26	12	52	8	0	0	0	0	0	0	0	0	0	0	
0	26	12	52	8	0	0	0	0	0	0	0	0	0	0	
0	26	12	52	8	1	-1506	1.030806e-07	4.2755	0	0	0	0	0	0	
0	26	12	52	8	1	-1506	1.030806e-07	4.2755	0	0	0	0	0	0	
0.024	26	12	52	8	1	-1506	1.030806e-07	4.2755	0	0	0	0	0	0	
0.04	26	12	52	8	1	-1506	1.030806e-07	4.2755	0	0	0	0	0	0	
0.048	26	12	52	8	1	-1506	1.030806e-07	4.2755	0	0	0	0	0	0	
0.052	26	12	52	9	1	-1506	1.089072e-07	4.2755	0	0	0	0	0	0	
0.076	26	12	52	9	1	-1506	-4.791627e-06	4.275504	0	0	0	0	0	0	
0.096	26	12	52	9	1	-1506	-2.081602e-05	4.275513	0	0	0	0	0	0	
0.096	26	12	52	9	1	-1506	-2.081602e-05	4.275513	0	0	0	0	0	0	
0.116	26	12	52	9	1	-1506	-4.524985e-05	4.275529	0	0	0	0	0	0	
0.14	26	12	52	9	1	-1506	-7.039265e-05	4.275552	0	0	0	0	0	0	
0.144	26	12	52	9	1	-1506	-7.415152e-05	4.275556	0	0	0	0	0	0	
0.16	26	12	52	9	1	-1506	-8.602008e-05	4.27557	0.0007084286	1.700026e-05	-0.0005156156	0	0	0	
0.188	26	12	52	9	1	-1506	-0.0001125871	4.275676	0.0005704248	0.0002681977	-0.0006943624	0	0	0	
0.192	26	12	52	9	1	-1506	-0.0001185457	4.275841	0.0005031013	0.0003917722	-0.0007178647	0	0	0	
0.204	26	12	52	9	1	-1506	-0.0001232475	4.276115	0.0002357335	0.0007920651	-0.0007854823	0	0	0	
0.232	26	12	52	9	1	-1506	-0.0001398595	4.278023	-0.0004172982	0.001120471	-0.0009303034	0	0	0	
0.24	26	12	52	9	1	-1506	-0.0001496813	4.279314	-0.0005264994	0.0009283179	-0.0009690469	0	0	0	
0.244	26	12	52	9	1	-1506	-0.0001496813	4.279314	-0.0005954077	0.0006194283	-0.001005741	0	0	0	
0.264	26	12	52	9	1	-1506	-0.0001700481	4.282766	-0.0007831896	-0.0002478934	-0.001072628	0	0	0	
0.288	26	12	52	9	1	-1506	-0.0001844447	4.286531	-0.0009941794	-0.00165397	-0.001159861	0	0	0	
0.288	26	12	52	9	1	-1506	-0.0001870917	4.287381	-0.0009941794	-0.00165397	-0.001159861	0	0	0	
0.304	26	12	52	9	1	-1506	-0.0001936206	4.290125	-0.001116435	-0.002067567	-0.00120903	0	0	0	
0.324	26	12	52	9	1	-1506	-0.0002041452	4.296487	-0.001196723	-0.001401835	-0.001264008	0	0	0	
0.336	26	12	52	9	1	-1506	-0.0002104969	4.300104	-0.001116422	-0.0005619296	-0.001292709	0	0	0	
0.34	26	12	52	10	1	-1506	-0.0002129223	4.301375	-0.001065327	-0.0002441047	-0.001301965	0	0	0	
0.364	26	12	52	10	1	-1506	-0.0002295777	4.309676	-0.0005674357	0.001314612	-0.001353224	0	0	0	
0.384	26	12	52	10	1	-1505.999	-0.0002444539	4.317483	-2.800881e-05	0.001691492	-0.001389676	0	0	0	
0.384	26	12	52	10	1	-1505.999	-0.0002444539	4.317483	-2.800881e-05	0.001691492	-0.001389676	0	0	0	
0.4	26	12	52	10	1	-1505.999	-0.0002477159	4.322555	9.07166e-05	0.001299842	-0.001412598	0	0	0	
0.42	26	12	52	10	1	-1505.999	-0.0002401987	4.333572	-0.000155368	0.0004117019	-0.001435461	0	0	0	
0.432	26	12	52	10	1	-1505.999	-0.000235352	4.339517	-0.0003214754	-0.0001152478	-0.001447332	0	0	0	
0.44	26	12	52	10	1	-1505.999	-0.0002321882	4.343642	-0.0004234153	-0.0003492248	-0.001455444	0	0	0	
0.456	26	12	52	10	1	-1505.999	-0.0002260789	4.352282	-0.000615944	-0.0007710201	-0.001473117	0	0	0	
0.48	26	12	52	10	1	-1505.999	-0.0002179021	4.366212	-0.0007132445	-0.001062615	-0.001489634	0	0	0	
0.48	26	12	52	10	1	-1505.999	-0.0002179021	4.366212	-0.0007132445	-0.001062615	-0.001489634	0	0	0	
0.496	26	12	52	10	1	-1505.999	-0.0002133357	4.373613	-0.000728109	-0.001125167	-0.001504285	0	0	0	
0.52	26	12	52	10	1	-1505.999	-0.0002063252	4.392011	-0.0005303471	-0.0006410046	-0.001525234	0	0	0	
0.528	26	12	52	10	1	-1505.999	-0.0002068381	4.397558	-0.0003544198	-0.0004186876	-0.001531597	0	0	0	
0.536	26	12	52	10	1	-1505.999	-0.0002080023	4.40038	-9.584114e-05	-0.000234025	-0.001537827	0	0	0	
0.564	26	12	52	10	1	-1505.999	-0.0002246918	4.421039	0.001043613	0.0004053882	-0.001552067	0	0	0	
0.576	26	12	52	10	1	-1505.999	-0.0002347784	4.433557	0.001434798	0.0006122617	-0.001557408	0	0	0	
