time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	23	20	46	43	0	0	0	0	0	0	0	0	0	0	
0	23	20	46	43	0	0	0	0	0	0	0	0	0	0	
0	23	20	46	43	1	-1510	-1.048674e-07	4.2755	0	0	0	0	0	0	
0.024	23	20	46	43	1	-1510	-1.048674e-07	4.2755	0	0	0	0	0	0	
0.04	23	20	46	43	1	-1510	-1.048674e-07	4.2755	0	0	0	0	0	0	
0.044	23	20	46	43	1	-1510	-1.048674e-07	4.2755	0	0	0	0	0	0	
0.068	23	20	46	43	1	-1510	-3.570766e-06	4.275502	0	0	0	0	0	0	
0.088	23	20	46	43	1	-1510	-8.738684e-06	4.275507	0	0	0	0	0	0	
0.092	23	20	46	43	1	-1510	-9.607747e-06	4.27551	0	0	0	0	0	0	
0.112	23	20	46	43	1	-1510	-1.346557e-05	4.275521	0	0	0	0	0	0	
0.124	23	20	46	43	1	-1510	-2.102433e-05	4.275531	0	0	0	0	0	0	
0.14	23	20	46	43	1	-1510	-3.054803e-05	4.275542	0	0	0	0	0	0	
0.144	23	20	46	43	1	-1510	-3.498617e-05	4.275545	0	0	0	0	0	0	
0.168	23	20	46	44	1	-1510	-5.798446e-05	4.275564	0	0	0	0	0	0	
0.184	23	20	46	44	1	-1510	-7.648196e-05	4.275582	0	0	0	0	0	0	
0.192	23	20	46	44	1	-1510	-8.220286e-05	4.275588	0	0	0	0	0	0	
0.204	23	20	46	44	1	-1510	-8.743031e-05	4.275595	0	0	0	0	0	0	
0.224	23	20	46	44	1	-1510	-8.895349e-05	4.275652	0	0	0	0	0	0	
0.24	23	20	46	44	1	-1510	-9.096258e-05	4.275689	0	0	0	0	0	0	
0.244	23	20	46	44	1	-1510	-9.096258e-05	4.275689	0.000217602	0.003535855	0.0003629495	0	0	0	
0.26	23	20	46	44	1	-1510	-8.791705e-05	4.275768	-0.0002163736	0.003417599	0.0005137999	0	0	0	
0.28	23	20	46	44	1	-1509.999	-8.0898e-05	4.276122	-0.0005989968	0.002768996	0.000620493	0	0	0	
0.292	23	20	46	44	1	-1509.999	-7.854781e-05	4.276925	-0.0007425076	0.002367338	0.0006936055	0	0	0	
0.296	23	20	46	44	1	-1509.999	-7.863332e-05	4.277202	-0.0007605903	0.002246656	0.0007169834	0	0	0	
0.316	23	20	46	44	1	-1509.999	-8.402439e-05	4.278624	-0.0004985706	0.001754721	0.0008266796	0	0	0	
0.34	23	20	46	44	1	-1509.999	-0.000120021	4.282343	0.0007001072	0.001290303	0.0009432227	0	0	0	
0.344	23	20	46	44	1	-1509.999	-0.0001265927	4.283003	0.0009308409	0.001251318	0.000961826	0	0	0	
0.364	23	20	46	44	1	-1509.999	-0.0001582501	4.286785	0.00192854	0.001475423	0.001053447	0	0	0	
0.384	23	20	46	44	1	-1509.999	-0.0001868278	4.291373	0.002517758	0.002511015	0.001139667	0	0	0	
0.392	23	20	46	44	1	-1509.999	-0.0001954035	4.293435	0.002545848	0.002940055	0.001169683	0	0	0	
0.4	23	20	46	44	1	-1509.998	-0.0002022593	4.295626	0.002448927	0.003292156	0.001197183	0	0	0	
