time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	buav_1_x	buav_1_y	buav_1_z	buav_2_x	buav_2_y	buav_2_z	buav_3_x	buav_3_y	buav_3_z	buav_4_x	buav_4_y	buav_4_z	buav_5_x	buav_5_y	buav_5_z	buav_6_x	buav_6_y	buav_6_z	
0	22	13	53	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	22	13	53	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	22	13	53	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	22	13	53	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	22	13	53	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	22	13	53	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	22	13	53	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40.712	22	13	53	15	-1400.437	19.83842	0.4452531	20.1659	-0.007525194	0.3362995	400.0004	-999.9983	0.4185339	999.9997	1200.002	0.3287264	-1000.121	-500.0002	0.2797963	-100.1275	599.9949	0.2874062	-899.9851	999.9913	0.3718101	-1492	3.30852e-10	4.352361	-1494	3.30852e-10	4.352361	-1496	3.30852e-10	4.352361	-1498	3.30852e-10	4.352361	-1500	3.30852e-10	4.352361	-1502	3.30852e-10	4.352361	
40.712	22	13	53	15	-1400.437	19.83842	0.4452531	20.1659	-0.007525194	0.3362995	400.0004	-999.9983	0.4185339	999.9997	1200.002	0.3287264	-1000.121	-500.0002	0.2797963	-100.1275	599.9949	0.2874062	-899.9851	999.9913	0.3718101	-1492	3.30852e-10	4.352361	-1494	3.30852e-10	4.352361	-1496	3.30852e-10	4.352361	-1498	3.30852e-10	4.352361	-1500	3.30852e-10	4.352361	-1502	3.30852e-10	4.352361	
40.712	22	13	53	15	-1400.437	19.83842	0.4452531	20.1659	-0.007525194	0.3362995	400.0004	-999.9983	0.4185339	999.9997	1200.002	0.3287264	-1000.121	-500.0002	0.2797963	-100.1275	599.9949	0.2874062	-899.9851	999.9913	0.3718101	-1492	3.30852e-10	4.352361	-1494	3.30852e-10	4.352361	-1496	3.30852e-10	4.352361	-1498	3.30852e-10	4.352361	-1500	3.30852e-10	4.352361	-1502	3.30852e-10	4.352361	
