time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	buav_1_x	buav_1_y	buav_1_z	buav_2_x	buav_2_y	buav_2_z	buav_3_x	buav_3_y	buav_3_z	buav_4_x	buav_4_y	buav_4_z	buav_5_x	buav_5_y	buav_5_z	buav_6_x	buav_6_y	buav_6_z	
9.312	22	13	22	29	-1400.029	19.99127	0.3658729	4.049046	-0.0009662077	0.397307	399.998	-999.9992	0.3163919	999.9972	1200.001	0.4070604	-1000.017	-500.0005	0.2050238	-100.0204	599.9974	0.2208943	-899.9996	1000.001	0.364922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.344	22	13	22	29	-1400.029	19.9911	0.3717285	4.065459	-0.0009745084	0.3984422	399.998	-999.9992	0.3179575	999.9971	1200.001	0.404167	-1000.017	-500.0005	0.2041775	-100.0206	599.9974	0.2205167	-899.9996	1000.001	0.3661987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.352	22	13	22	29	-1400.03	19.99106	0.3731893	4.069562	-0.0009765793	0.3987164	399.998	-999.9992	0.3183623	999.9971	1200.001	0.4034383	-1000.017	-500.0005	0.2039816	-100.0206	599.9974	0.2204433	-899.9996	1000.001	0.3665191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.372	22	13	22	29	-1400.03	19.99096	0.3768332	4.079819	-0.0009817288	0.3993855	399.998	-999.9992	0.319397	999.9971	1200.001	0.4016084	-1000.017	-500.0005	0.2035201	-100.0207	599.9974	0.2202969	-899.9996	1000.001	0.3673219	-1492	4.495871e-09	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.4	22	13	22	29	-1400.03	19.99081	0.3819095	4.09418	-0.000988826	0.4002852	399.998	-999.9992	0.3208988	999.9971	1200.001	0.3990298	-1000.017	-500.0005	0.2029424	-100.0209	599.9974	0.2201831	-899.9996	1000.001	0.3684496	-1492	4.495871e-09	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.412	22	13	22	29	-1400.031	19.99074	0.3840739	4.100334	-0.0009918126	0.4006585	399.998	-999.9992	0.3215611	999.9971	1200.001	0.3979198	-1000.017	-500.0005	0.2027197	-100.021	599.9973	0.2201675	-899.9996	1000.001	0.3689342	-1492	4.495871e-09	4.2755	-1494	4.549829e-09	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	
9.444	22	13	22	29	-1400.031	19.99056	0.3898051	4.116746	-0.0009995875	0.4016213	399.998	-999.9992	0.3233812	999.9971	1200.001	0.3949505	-1000.017	-500.0005	0.2021993	-100.0211	599.9973	0.2202255	-899.9996	1000.001	0.3702303	-1492	9.1788e-06	4.275725	-1494	4.549829e-09	4.2755	0	0	0	0	0	0	0	0	0	0	0	0	
9.456	22	13	22	29	-1400.031	19.99049	0.3919369	4.122901	-0.001002433	0.4019711	399.998	-999.9992	0.324084	999.9971	1200.001	0.3938348	-1000.017	-500.0005	0.2020319	-100.0212	599.9973	0.2202848	-899.9996	1000.001	0.3707179	-1492	1.67235e-05	4.276012	-1494	4.549829e-09	4.2755	-1496	4.495871e-09	4.2755	0	0	0	0	0	0	0	0	0	
9.484	22	13	22	29	-1400.032	19.99033	0.3968679	4.137261	-0.001008947	0.4027656	399.998	-999.9992	0.325767	999.9971	1200.001	0.391231	-1000.017	-500.0005	0.201701	-100.0213	599.9973	0.2205029	-899.9996	1000.001	0.3718589	-1492	2.963062e-05	4.277201	-1494	4.896758e-06	4.275605	-1496	4.495871e-09	4.2755	0	0	0	0	0	0	0	0	0	
9.496	22	13	22	29	-1400.032	19.99026	0.3989608	4.143415	-0.001011699	0.4030974	399.998	-999.9992	0.326507	999.9971	1200.001	0.3901161	-1000.017	-500.0005	0.201585	-100.0214	599.9973	0.22063	-899.9996	1000.001	0.3723494	-1492	3.366436e-05	4.277938	-1494	6.708582e-06	4.275808	-1496	4.495871e-09	4.2755	-1498	4.523306e-09	4.2755	0	0	0	0	0	0	
