time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	25	17	26	0	0	0	0	0	0	0	0	0	0	0	
0	25	17	26	0	0	0	0	0	0	0	0	0	0	0	
0	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.02	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.04	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.04	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.04	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.044	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.044	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.06	25	17	26	0	1	-1494	2.225662e-08	4.2755	0	0	0	0	0	0	
0.08	25	17	26	0	1	-1494	1.748439e-07	4.2755	0	0	0	0	0	0	
0.088	25	17	26	0	1	-1494	1.979786e-06	4.275501	0	0	0	0	0	0	
0.088	25	17	26	0	1	-1494	1.979786e-06	4.275501	0	0	0	0	0	0	
0.092	25	17	26	0	1	-1494	2.159686e-06	4.275501	0	0	0	0	0	0	
0.1	25	17	26	0	1	-1494	3.849355e-06	4.275502	0	0	0	0	0	0	
0.116	25	17	26	0	1	-1494	1.061993e-05	4.275506	0	0	0	0	0	0	
0.132	25	17	26	0	1	-1494	1.822813e-05	4.275513	-0.0001528328	0.00053803	0.0002315862	0	0	0	
0.136	25	17	26	0	1	-1494	1.972128e-05	4.275516	-0.0001528328	0.00053803	0.0002315862	0	0	0	
0.136	25	17	26	0	1	-1494	1.972128e-05	4.275516	-0.0001528328	0.00053803	0.0002315862	0	0	0	
0.14	25	17	26	0	1	-1494	2.115747e-05	4.275518	-0.0001497969	0.0004947303	0.0002596014	0	0	0	
