time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	25	16	47	48	0	0	0	0	0	0	0	0	0	0	
0	25	16	47	48	1	-1500	-1.040328e-07	4.2755	0	0	0	0	0	0	
0.032	25	16	47	48	1	-1500	-1.040328e-07	4.2755	0	0	0	0	0	0	
0.076	25	16	47	48	1	-1500	4.403107e-06	4.275513	0	0	0	0	0	0	
0.124	25	16	47	48	1	-1500	2.520892e-05	4.275567	0	0	0	0	0	0	
0.168	25	16	47	48	1	-1500	2.912994e-07	4.275637	0.0008026874	0.002352697	-3.866645e-05	0	0	0	
0.208	25	16	47	48	1	-1500	-6.150716e-05	4.276161	0.002628967	0.001218163	-0.0001062688	0	0	0	
0.252	25	16	47	48	1	-1499.999	-0.0001571363	4.279715	0.003622846	0.001175642	-0.0001621776	0	0	0	
0.292	25	16	47	48	1	-1499.999	-0.0002208611	4.286133	0.00207169	0.001387099	-0.0001748523	0	0	0	
0.332	25	16	47	48	1	-1499.999	-0.0002600537	4.295559	-0.002473356	0.001227971	-0.0001830893	0	0	0	
0.372	25	16	47	48	1	-1499.999	-0.0003034235	4.307931	-0.004780782	-0.0005616485	-0.0001973788	0	0	0	
0.4	25	16	47	48	1	-1499.998	-0.0003344813	4.318313	-0.004582165	-0.001232266	-0.00020616	0	0	0	
0.436	25	16	47	49	1	-1499.998	-0.0003623868	4.333707	-0.00279968	-0.0001863483	-0.0002176311	0	0	0	
0.476	25	16	47	49	1	-1499.997	-0.0003480165	4.353462	-0.0007464428	0.003082111	-0.0002200548	0	0	0	
0.52	25	16	47	49	1	-1499.997	-0.0002777863	4.378352	0.0001828477	0.003446333	-0.00023621	0	0	0	
0.556	25	16	47	49	1	-1499.997	-0.0001953454	4.401124	2.957244e-06	-0.0001521665	-0.0002629974	0	0	0	
0.592	25	16	47	49	1	-1499.996	-0.0001245786	4.426017	0.0001833067	-0.003278259	-0.0002828668	0	0	0	
0.632	25	16	47	49	1	-1499.996	-5.198703e-05	4.456115	0.0004469575	-0.001102656	-0.0002955628	0	0	0	
0.668	25	16	47	49	1	-1499.995	3.442742e-06	4.485368	0.0007412761	0.003360096	-0.000306975	0	0	0	
0.692	25	16	47	49	1	-1499.995	4.207423e-05	4.505987	0.0006693182	0.003554332	-0.0003244295	0	0	0	
0.736	25	16	47	49	1	-1499.994	9.249886e-05	4.542296	0.0006923608	-0.0007762283	-0.0003771438	0	0	0	
0.78	25	16	47	49	1	-1499.993	0.0001190206	4.589013	0.001166461	-0.001137865	-0.0004257795	0	0	0	
0.812	25	16	47	49	1	-1499.993	0.0001416724	4.622023	0.0007876276	0.001123596	-0.0004333603	0	0	0	
0.856	25	16	47	49	1	-1499.992	0.0001564537	4.669789	0.0003053274	0.002175963	-0.0004395977	0	0	0	
0.9	25	16	47	49	1	-1499.991	0.000145956	4.720243	0.00040267	0.0004391302	-0.0004409581	0	0	0	
0.944	25	16	47	49	1	-1499.99	0.0001104955	4.77332	0.0009877138	0.0004510956	-0.0004407678	0	0	0	
0.992	25	16	47	49	1	-1499.989	9.573125e-05	4.834145	4.719974e-05	0.0001521677	-0.0004556709	0	0	0	
1.036	25	16	47	49	1	-1499.988	9.820254e-05	4.892512	-0.001440859	-4.974036e-05	-0.0004599851	0	0	0	
1.08	25	16	47	49	1	-1499.988	8.308249e-05	4.953307	-0.001417931	-0.003086972	-0.00044272	0	0	0	
1.12	25	16	47	49	1	-1499.987	6.383109e-05	5.010635	-0.0003791188	-0.001835604	-0.0004380682	0	0	0	
1.164	25	16	47	49	1	-1499.986	4.449377e-05	5.075902	0.0009035428	0.001654857	-0.0004648307	0	0	0	
1.208	25	16	47	49	1	-1499.985	4.572723e-05	5.143415	0.0008562776	0.001113883	-0.0004851526	0	0	0	
1.248	25	16	47	50	1	-1499.984	4.189804e-05	5.206691	0.0003914702	-0.001836937	-0.0005046418	0	0	0	
1.296	25	16	47	50	1	-1499.983	-2.428946e-06	5.284935	0.0007833599	-0.002111071	-0.0005269904	0	0	0	
1.34	25	16	47	50	1	-1499.982	-4.720675e-05	5.358816	0.0006787481	0.0002510994	-0.0005644521	0	0	0	
1.384	25	16	47	50	1	-1499.981	-6.346847e-05	5.434707	-0.001076641	-0.0006281866	-0.0006160069	0	0	0	
1.42	25	16	47	50	1	-1499.98	-5.924565e-05	5.498253	-0.00238085	4.440752e-05	-0.0006617565	0	0	0	
1.464	25	16	47	50	1	-1499.979	-6.247887e-05	5.577648	-0.002314772	0.0007584677	-0.0007138421	0	0	0	
1.5	25	16	47	50	1	-1499.978	-7.532221e-05	5.643983	-0.000892565	2.450091e-06	-0.0007379538	0	0	0	
1.524	25	16	47	50	1	-1499.978	-7.933113e-05	5.688876	0.0002572352	-0.0002624946	-0.0007565453	0	0	0	
1.556	25	16	47	50	1	-1499.977	-8.564943e-05	5.749555	0.001677109	-0.0007096059	-0.000789302	0	0	0	
1.604	25	16	47	50	1	-1499.976	-0.0001100095	5.842285	0.002980593	-0.001520506	-0.0008249069	0	0	0	
1.644	25	16	47	50	1	-1499.975	-0.0001537673	5.921082	0.002978404	-0.001450348	-0.0008331177	0	0	0	
1.684	25	16	47	50	1	-1499.974	-0.0002159963	6.001226	0.002209856	-0.002277803	-0.0008369902	0	0	0	
1.732	25	16	47	50	1	-1499.973	-0.0002873023	6.099123	-0.0004458725	-0.0003808804	-0.0008439642	0	0	0	
1.776	25	16	47	50	1	-1499.971	-0.0003342598	6.190457	-0.003310486	0.002270759	-0.0008527245	0	0	0	
1.824	25	16	47	50	1	-1499.97	-0.0003574572	6.291779	-0.004620357	0.0001588163	-0.0008515011	0	0	0	
1.868	25	16	47	50	1	-1499.969	-0.0003627365	6.386162	-0.002914203	-0.004532869	-0.0008241996	0	0	0	
1.904	25	16	47	50	1	-1499.968	-0.0003318463	6.464419	-0.001043542	-0.003328385	-0.0007907977	0	0	0	
1.952	25	16	47	50	1	-1499.967	-0.0002600464	6.570146	0.0007344751	-0.002018853	-0.0007480151	0	0	0	
2	25	16	47	50	1	-1499.966	-0.0001847318	6.677398	0.001937985	-0.0001871304	-0.0006839066	0	0	0	
2.048	25	16	47	50	1	-1499.965	-0.000135508	6.786124	0.002409327	-0.001351876	-0.0006247623	0	0	0	
2.084	25	16	47	51	1	-1499.964	-0.0001020134	6.868604	0.001588494	-0.001609561	-0.0005678974	0	0	0	
2.128	25	16	47	51	1	-1499.963	-8.071443e-05	6.970468	0.0002605661	-2.190116e-05	-0.0004912962	0	0	0	
2.16	25	16	47	51	1	-1499.962	-8.40263e-05	7.045249	-0.0002812055	-0.001181052	-0.0004491548	0	0	0	
2.204	25	16	47	51	1	-1499.961	-9.289684e-05	7.148994	-0.0007442114	-0.003796537	-0.0004206977	0	0	0	
2.232	25	16	47	51	1	-1499.961	-7.109436e-05	7.215559	-0.001780207	-0.00283729	-0.0004097134	0	0	0	
2.268	25	16	47	51	1	-1499.96	-3.554335e-05	7.292135	-0.002803597	0.00122722	-0.0004013484	0	0	0	
2.304	25	16	47	51	1	-1499.959	4.654384e-06	7.388577	-0.002566644	0.003841365	-0.0004013629	0	0	0	
2.344	25	16	47	51	1	-1499.958	4.11187e-05	7.4858	-0.0007366943	0.001065745	-0.0004222226	0	0	0	
2.38	25	16	47	51	1	-1499.957	6.44754e-05	7.564121	0.001373935	-0.001218979	-0.0004533622	0	0	0	
2.412	25	16	47	51	1	-1499.956	9.20505e-05	7.652782	0.002662871	-0.001172466	-0.0004744217	0	0	0	
2.456	25	16	47	51	1	-1499.955	0.0001150967	7.7619	0.003169412	-5.42026e-05	-0.0004853226	0	0	0	
2.5	25	16	47	51	1	-1499.954	0.0001232204	7.871807	0.002036338	0.001857663	-0.0004969124	0	0	0	
2.54	25	16	47	51	1	-1499.952	0.0001108745	7.97238	0.000409179	-2.997338e-05	-0.0005100467	0	0	0	
2.58	25	16	47	51	1	-1499.951	0.0001063521	8.073552	-0.001981815	-0.003425689	-0.000518317	0	0	0	
2.62	25	16	47	51	1	-1499.95	0.0001144821	8.175303	-0.003423129	-0.002170023	-0.0005413885	0	0	0	
2.664	25	16	47	51	1	-1499.949	0.0001100379	8.277609	-0.002698026	0.000463879	-0.0005867518	0	0	0	
2.704	25	16	47	51	1	-1499.948	9.633899e-05	8.390756	-0.0002857977	-0.001579843	-0.0006249871	0	0	0	
2.752	25	16	47	51	1	-1499.947	5.649296e-05	8.514875	0.003411362	-0.00274725	-0.0006645675	0	0	0	
2.796	25	16	47	51	1	-1499.945	-4.348444e-06	8.629234	0.00531963	0.0001040576	-0.0006547892	0	0	0	
2.844	25	16	47	51	1	-1499.944	-0.0001349392	8.754595	0.005322123	0.0008861802	-0.0006743336	0	0	0	
2.892	25	16	47	52	1	-1499.943	-0.0002738505	8.880536	0.001271199	-0.0008741589	-0.000686413	0	0	0	
2.94	25	16	47	52	1	-1499.941	-0.0004260968	9.007012	-0.003004851	-0.0009570683	-0.0006724805	0	0	0	
2.988	25	16	47	52	1	-1499.94	-0.0006280645	9.133999	-0.003930859	0.0005524105	-0.000663033	0	0	0	
3.032	25	16	47	52	1	-1499.939	-0.0008409866	9.250806	-0.001259768	-0.001248086	-0.0006638006	0	0	0	
3.076	25	16	47	52	1	-1499.937	-0.00106814	9.36797	0.001999945	-0.002703843	-0.0006698259	0	0	0	
3.116	25	16	47	52	1	-1499.936	-0.001266394	9.474764	0.004510031	-0.002573888	-0.0006775055	0	0	0	
3.16	25	16	47	52	1	-1499.935	-0.001475575	9.592521	0.003413317	-0.001862494	-0.0007046997	0	0	0	
3.204	25	16	47	52	1	-1499.934	-0.001643746	9.710556	-0.001236773	-0.001587718	-0.0007497594	0	0	0	
3.248	25	16	47	52	1	-1499.933	-0.00183974	9.828843	-0.004347115	-0.0005806338	-0.000807037	0	0	0	
3.3	25	16	47	52	1	-1499.931	-0.002116711	9.958128	-0.002108891	-0.0008117039	-0.0008404156	0	0	0	
3.348	25	16	47	52	1	-1499.93	-0.002450646	10.09843	0.002490663	-0.0001629846	-0.0008563951	0	0	0	
3.392	25	16	47	52	1	-1499.929	-0.002724266	10.21731	0.004854966	0.0003542436	-0.0008771867	0	0	0	
3.444	25	16	47	52	1	-1499.927	-0.003050131	10.35798	0.003643468	-0.001069323	-0.0008893076	0	0	0	
3.468	25	16	47	52	1	-1499.926	-0.003205798	10.42295	0.001694601	-0.003133101	-0.0008987191	0	0	0	
3.496	25	16	47	52	1	-1499.926	-0.003386538	10.49878	-0.0004118295	-0.004155693	-0.0008962048	0	0	0	
3.528	25	16	47	52	1	-1499.925	-0.003586615	10.58548	-0.003254816	-0.002672515	-0.0008801996	0	0	0	
3.572	25	16	47	52	1	-1499.923	-0.003860508	10.70473	-0.005332048	0.001443187	-0.0008688932	0	0	0	
3.616	25	16	47	52	1	-1499.922	-0.004129154	10.824	-0.003995752	0.0002747144	-0.000860572	0	0	0	
3.664	25	16	47	52	1	-1499.921	-0.00440632	10.95412	-0.0006045216	-0.003621016	-0.0008611357	0	0	0	
3.712	25	16	47	52	1	-1499.92	-0.004680071	11.08421	0.003298949	-0.002423282	-0.0008368894	0	0	0	
3.752	25	16	47	53	1	-1499.918	-0.004879561	11.19259	0.00378747	-0.001736486	-0.0008289278	0	0	0	
3.8	25	16	47	53	1	-1499.917	-0.005074029	11.32257	0.0003027579	-0.002814754	-0.0008242312	0	0	0	
3.84	25	16	47	53	1	-1499.916	-0.005220236	11.43082	-0.003180847	-0.003117298	-0.0008316313	0	0	0	
3.884	25	16	47	53	1	-1499.915	-0.0054033	11.54978	-0.004829055	-0.0006184076	-0.0008581134	0	0	0	
3.932	25	16	47	53	1	-1499.914	-0.005626329	11.67942	-0.002160601	-0.0007209117	-0.0008787808	0	0	0	
3.98	25	16	47	53	1	-1499.913	-0.005843701	11.80888	0.001878312	-0.002531234	-0.0009016119	0	0	0	
4.024	25	16	47	53	1	-1499.911	-0.00603977	11.92738	0.004327143	-0.002941232	-0.0009477378	0	0	0	
4.072	25	16	47	53	1	-1499.91	-0.00623548	12.05645	0.002984698	-3.793322e-05	-0.0009874072	0	0	0	
4.116	25	16	47	53	1	-1499.909	-0.006417833	12.17454	0.0001384244	-0.001335629	-0.001025077	0	0	0	
4.16	25	16	47	53	1	-1499.908	-0.006603159	12.29243	-0.002958975	-0.005358348	-0.00105647	0	0	0	
4.208	25	16	47	53	1	-1499.907	-0.00680862	12.42077	-0.004165311	-0.001707318	-0.001112513	0	0	0	
4.256	25	16	47	53	1	-1499.906	-0.006989336	12.53815	-0.002693327	0.0008315305	-0.001156921	0	0	0	
4.292	25	16	47	53	1	-1499.905	-0.007115845	12.64461	-0.00139004	-0.002989616	-0.001170041	0	0	0	
4.336	25	16	47	53	1	-1499.904	-0.007220542	12.76145	-0.0001379327	-0.004537665	-0.001196719	0	0	0	
4.376	25	16	47	53	1	-1499.903	-0.007309923	12.86739	0.0008450343	-0.0004098281	-0.001238838	0	0	0	
4.42	25	16	47	53	1	-1499.902	-0.007399017	12.98362	0.001081651	-0.0006605122	-0.001307339	0	0	0	
4.472	25	16	47	53	1	-1499.901	-0.007517123	13.11005	0.001198946	-0.002990305	-0.001371476	0	0	0	
