time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	25	17	26	0	0	0	0	0	0	0	0	0	0	0	
0	25	17	26	0	0	0	0	0	0	0	0	0	0	0	
0	25	17	26	0	1	-1502	2.225662e-08	4.2755	0	0	0	0	0	0	
0	25	17	26	0	1	-1502	2.225662e-08	4.2755	0	0	0	0	0	0	
0	25	17	26	0	1	-1502	2.225662e-08	4.2755	0	0	0	0	0	0	
0.004	25	17	26	1	1	-1502	2.225662e-08	4.2755	1.300944e-10	0.0007966896	2.423355e-07	0	0	0	
0.004	25	17	26	1	1	-1502	2.225662e-08	4.2755	1.300944e-10	0.0007966896	2.423355e-07	0	0	0	
0.02	25	17	26	1	1	-1502	2.225662e-08	4.2755	5.462949e-10	0.0007966845	2.423307e-07	0	0	0	
0.04	25	17	26	1	1	-1502	3.785117e-07	4.275528	-1.414201e-05	0.000975722	1.13366e-06	0	0	0	
0.048	25	17	26	1	1	-1502	1.099335e-06	4.275628	-4.304228e-05	0.001288297	2.718863e-06	0	0	0	
0.048	25	17	26	1	1	-1502	1.099335e-06	4.275628	-4.304228e-05	0.001288297	2.718863e-06	0	0	0	
0.052	25	17	26	1	1	-1502	1.570721e-06	4.275714	-6.192703e-05	0.001444006	3.589587e-06	0	0	0	
0.052	25	17	26	1	1	-1502	1.570721e-06	4.275714	-6.192703e-05	0.001444006	3.589587e-06	0	0	0	
0.064	25	17	26	1	1	-1502	2.530976e-06	4.276137	-0.000103813	0.001830246	6.090448e-06	0	0	0	
0.092	25	17	26	1	1	-1502	4.436435e-06	4.277802	-0.0002110831	0.002072433	1.052113e-05	0	0	0	
0.096	25	17	26	1	1	-1502	5.799795e-06	4.278609	-0.0002337034	0.002006251	1.114938e-05	0	0	0	
0.1	25	17	26	1	1	-1502	6.098861e-06	4.279061	-0.0002436969	0.001918457	1.166638e-05	0	0	0	
