time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	25	17	28	59	0	0	0	0	0	0	0	0	0	0	
0	25	17	28	59	1	-1492	-1.528866e-07	4.2755	0	0	0	0	0	0	
0.008	25	17	28	59	1	-1492	-1.528866e-07	4.2755	0	0	0	0	0	0	
0.008	25	17	28	59	1	-1492	-1.528866e-07	4.2755	0	0	0	0	0	0	
0.012	25	17	28	59	1	-1492	-1.528866e-07	4.2755	0	0	0	0	0	0	
0.012	25	17	28	59	1	-1492	-1.528866e-07	4.2755	0	0	0	0	0	0	
0.016	25	17	28	59	1	-1492	-1.528866e-07	4.2755	-8.946258e-10	0.0007966846	-1.656748e-06	0	0	0	
0.032	25	17	28	59	1	-1492	-1.528866e-07	4.2755	-6.302624e-10	0.0007966737	-1.656742e-06	0	0	0	
0.044	25	17	28	59	1	-1492	-1.507025e-06	4.275504	7.72353e-05	0.000783478	-1.760908e-06	0	0	0	
0.056	25	17	28	59	1	-1492	-8.274244e-06	4.275571	0.0002343301	0.0008321927	-1.750325e-06	0	0	0	
0.056	25	17	28	59	1	-1492	-8.274244e-06	4.275571	0.0002343301	0.0008321927	-1.750325e-06	0	0	0	
0.06	25	17	28	59	1	-1492	-1.144362e-05	4.275619	0.000330697	0.0008836875	-1.574969e-06	0	0	0	
0.064	25	17	29	0	1	-1492	-1.505241e-05	4.275683	0.0004397883	0.0009418701	-1.270875e-06	0	0	0	
0.088	25	17	29	0	1	-1492	-4.637668e-05	4.27642	0.00133267	0.001536733	1.311886e-06	0	0	0	
0.104	25	17	29	0	1	-1492	-6.563576e-05	4.277267	0.001714459	0.001882934	1.779952e-06	0	0	0	
0.104	25	17	29	0	1	-1492	-6.563576e-05	4.277267	0.001714459	0.001882934	1.779952e-06	0	0	0	
0.108	25	17	29	0	1	-1492	-7.020871e-05	4.277525	0.001775395	0.001918354	1.658112e-06	0	0	0	
0.108	25	17	29	0	1	-1492	-7.020871e-05	4.277525	0.001775395	0.001918354	1.658112e-06	0	0	0	
0.124	25	17	29	0	1	-1492	-8.442983e-05	4.278406	0.001921558	0.001666711	-2.868197e-07	0	0	0	
0.144	25	17	29	0	1	-1492	-0.0001050486	4.280239	0.001693516	0.0007930601	-6.406933e-06	0	0	0	
0.152	25	17	29	0	1	-1492	-0.0001141987	4.281556	0.001453224	0.0004518734	-8.151175e-06	0	0	0	
0.152	25	17	29	0	1	-1492	-0.0001141987	4.281556	0.001453224	0.0004518734	-8.151175e-06	0	0	0	
0.156	25	17	29	0	1	-1492	-0.0001163242	4.282031	0.001292997	0.0003041441	-8.71608e-06	0	0	0	
0.156	25	17	29	0	1	-1492	-0.0001163242	4.282031	0.001292997	0.0003041441	-8.71608e-06	0	0	0	
0.164	25	17	29	0	1	-1492	-0.0001194054	4.283034	0.0006927962	-0.0001621771	-8.76945e-06	0	0	0	
0.188	25	17	29	0	1	-1492	-0.0001282442	4.286472	-0.000364235	-0.0008380502	-6.148809e-06	0	0	0	
0.2	25	17	29	0	1	-1492	-0.0001331745	4.288429	-0.0009774309	-0.0009753318	-3.339161e-06	0	0	0	
0.204	25	17	29	0	1	-1492	-0.0001339063	4.289117	-0.001204402	-0.0009628803	-2.077839e-06	0	0	0	
0.204	25	17	29	0	1	-1492	-0.0001339063	4.289117	-0.001204402	-0.0009628803	-2.077839e-06	0	0	0	
0.22	25	17	29	0	1	-1492	-0.0001330175	4.292043	-0.002163116	-0.0006950418	3.343533e-06	0	0	0	
0.24	25	17	29	0	1	-1492	-0.0001200915	4.296093	-0.003476766	-4.749024e-05	9.069555e-06	0	0	0	
0.248	25	17	29	0	1	-1491.999	-0.0001122527	4.297834	-0.003963131	0.0003210029	9.760027e-06	0	0	0	
0.252	25	17	29	1	1	-1491.999	-0.0001078406	4.29873	-0.004189151	0.0005078296	1.014353e-05	0	0	0	
0.252	25	17	29	1	1	-1491.999	-0.0001078406	4.29873	-0.004189151	0.0005078296	1.014353e-05	0	0	0	
0.268	25	17	29	1	1	-1491.999	-9.001285e-05	4.302487	-0.004841303	0.00122312	9.940273e-06	0	0	0	
0.296	25	17	29	1	1	-1491.999	-5.043349e-05	4.309716	-0.005159393	0.001921681	5.500971e-06	0	0	0	
0.296	25	17	29	1	1	-1491.999	-5.043349e-05	4.309716	-0.005159393	0.001921681	5.500971e-06	0	0	0	
0.3	25	17	29	1	1	-1491.999	-4.413383e-05	4.310816	-0.005105621	0.001892822	5.541664e-06	0	0	0	
0.308	25	17	29	1	1	-1491.999	-3.771148e-05	4.311933	-0.004932035	0.001756541	7.198924e-06	0	0	0	
0.328	25	17	29	1	1	-1491.999	2.080189e-06	4.317768	-0.004312935	0.001165396	1.628736e-05	0	0	0	
0.344	25	17	29	1	1	-1491.999	5.279538e-05	4.324017	-0.003619598	0.0001881309	2.250285e-05	0	0	0	
0.348	25	17	29	1	1	-1491.999	6.366481e-05	4.325316	-0.003408655	-0.0001013822	2.386596e-05	0	0	0	
0.348	25	17	29	1	1	-1491.999	6.366481e-05	4.325316	-0.003408655	-0.0001013822	2.386596e-05	0	0	0	
0.376	25	17	29	1	1	-1491.999	0.000144834	4.334864	-0.001630973	-0.001876649	2.935212e-05	0	0	0	
0.392	25	17	29	1	1	-1491.999	0.0001953149	4.340676	-0.0005192633	-0.002339286	3.017187e-05	0	0	0	
0.392	25	17	29	1	1	-1491.999	0.0001953149	4.340676	-0.0005192633	-0.002339286	3.017187e-05	0	0	0	
0.396	25	17	29	1	1	-1491.999	0.0002079857	4.342169	-0.000232495	-0.00237965	3.026963e-05	0	0	0	
0.4	25	17	29	1	1	-1491.999	0.0002079857	4.342169	5.572452e-05	-0.002367979	3.059381e-05	0	0	0	
0.42	25	17	29	1	1	-1491.999	0.0002830802	4.35146	0.001477342	-0.001541716	3.727052e-05	0	0	0	
0.44	25	17	29	1	1	-1491.998	0.0003464327	4.359636	0.002635151	-4.129463e-05	5.264844e-05	0	0	0	
0.44	25	17	29	1	1	-1491.998	0.0003464327	4.359636	0.002635151	-4.129463e-05	5.264844e-05	0	0	0	
0.444	25	17	29	1	1	-1491.998	0.0003597437	4.361318	0.002800509	0.0003050906	5.676151e-05	0	0	0	
0.444	25	17	29	2	1	-1491.998	0.0003597437	4.361318	0.002800509	0.0003050906	5.676151e-05	0	0	0	
0.456	25	17	29	2	1	-1491.998	0.0003870582	4.364728	0.003146227	0.001379074	6.97448e-05	0	0	0	
0.476	25	17	29	2	1	-1491.998	0.0004660157	4.375329	0.003452555	0.002979049	9.400496e-05	0	0	0	
0.488	25	17	29	2	1	-1491.998	0.0005033638	4.380837	0.003443825	0.003490777	0.0001093475	0	0	0	
0.492	25	17	29	2	1	-1491.998	0.0005033638	4.380837	0.003401006	0.003581804	0.0001140536	0	0	0	
0.492	25	17	29	2	1	-1491.998	0.0005157399	4.382703	0.003401006	0.003581804	0.0001140536	0	0	0	
0.512	25	17	29	2	1	-1491.998	0.0005608783	4.390319	0.003098504	0.003551026	0.0001312746	0	0	0	
0.536	25	17	29	2	1	-1491.998	0.000616297	4.402191	0.002595358	0.002391574	0.0001434368	0	0	0	
0.536	25	17	29	2	1	-1491.998	0.000624099	4.404222	0.002595358	0.002391574	0.0001434368	0	0	0	
0.54	25	17	29	2	1	-1491.998	0.0006315657	4.406267	0.002498388	0.002119289	0.0001448991	0	0	0	
0.54	25	17	29	2	1	-1491.998	0.0006315657	4.406267	0.002498388	0.002119289	0.0001448991	0	0	0	
0.556	25	17	29	2	1	-1491.997	0.0006588572	4.414596	0.002051188	0.001124504	0.0001510588	0	0	0	
0.576	25	17	29	2	1	-1491.997	0.0006923719	4.425336	0.001234908	0.0005187437	0.0001610606	0	0	0	
0.584	25	17	29	2	1	-1491.997	0.0007054922	4.429734	0.0008559457	0.0003590023	0.0001652775	0	0	0	
0.588	25	17	29	2	1	-1491.997	0.0007117024	4.431955	0.000669545	0.0003113022	0.0001673918	0	0	0	
